Date,Time,Latitude,Longitude,Altitude,Residual Error,Clock Error,Cumulative Clock Error,No Sats Used,No Sats Provided,Duplicates,Notes
28/01/2010,07:00:02,-53.975083,-36.29654,0,9.070995,-0.38,-2.4,5,5,0,
28/01/2010,06:52:01,-53.974081,-36.295181,0,4.89678,-0.22,-2.4,7,7,0,
28/01/2010,06:45:01,-53.974067,-36.293554,0,1.699592,-0.77,-2.18,5,5,0,
28/01/2010,06:39:00,-53.973282,-36.294056,0,1.19828,-0.44,-2.18,5,5,0,
28/01/2010,06:33:00,-53.97345,-36.292935,0,1.72354,-0.65,-2.18,5,5,0,
28/01/2010,06:28:00,-53.974267,-36.291655,0,0.216868,-0.83,-2.18,4,4,0,
28/01/2010,06:23:00,-53.973412,-36.292393,0,0.610062,-0.96,-2.18,4,4,0,
28/01/2010,06:09:00,-53.975133,-36.291053,0,2.315565,-0.69,-2.18,5,5,0,
28/01/2010,05:20:00,-53.98146,-36.291579,0,8.971501,-0.45,-2.18,5,5,0,
28/01/2010,05:05:47,-53.98061,-36.291583,0,10.808732,0.64,-2.18,8,8,0,
28/01/2010,04:36:00,-53.981073,-36.296761,0,2.264674,-0.37,-2.82,6,6,0,
28/01/2010,04:29:41,-53.981054,-36.294212,0,5.493931,0.5,-2.45,7,7,0,
28/01/2010,04:22:33,-53.98068,-36.293633,0,8.15862,-0.3,-2.95,6,6,0,
28/01/2010,04:13:21,-53.980742,-36.292736,0,11.688179,0.24,-2.65,8,8,0,
28/01/2010,03:56:50,-53.981794,-36.291496,0,7.069747,0,-2.89,5,5,0,
28/01/2010,03:48:02,-53.980315,-36.289654,0,14.393037,0.47,-2.89,5,5,0,
28/01/2010,03:07:02,-53.986443,-36.286834,0,5.289459,-0.79,-2.89,7,7,0,
28/01/2010,02:33:51,-53.989688,-36.283896,0,5.042525,0.77,-2.1,6,6,0,
28/01/2010,02:25:32,-53.991584,-36.283183,0,6.558854,-0.39,-2.87,7,7,0,
28/01/2010,01:56:12,-53.994159,-36.279541,0,8.112259,0.08,-2.48,6,6,0,
28/01/2010,01:26:01,-53.996009,-36.26529,0,3.095248,-0.37,-2.56,5,5,0,
28/01/2010,01:09:15,-53.995502,-36.257824,0,0.43241,0.18,-2.56,5,5,0,
28/01/2010,00:58:00,-53.996281,-36.254223,0,0.4324,0.46,-2.56,4,4,0,
28/01/2010,00:05:01,-53.998007,-36.235558,0,5.062846,-0.29,-2.56,6,7,0,
27/01/2010,23:59:02,-53.99705,-36.230418,0,13.620323,0.5,-2.27,7,8,0,
27/01/2010,23:49:02,-53.996616,-36.223154,0,7.191638,-0.52,-2.77,7,8,0,
27/01/2010,23:44:02,-53.996391,-36.222466,0,7.042798,-0.25,-2.25,7,8,0,
27/01/2010,23:14:03,-53.998566,-36.215048,0,3.744504,0.47,-2,7,8,0,
27/01/2010,22:58:15,-53.999445,-36.212214,0,0.509971,-0.01,-2.47,4,4,0,
27/01/2010,22:52:00,-53.999469,-36.213818,0,9.816707,-0.23,-2.47,7,8,0,
27/01/2010,22:47:26,-53.999792,-36.213919,0,12.942961,0.63,-2.24,7,8,0,
27/01/2010,22:42:13,-53.999845,-36.213565,0,9.153795,0.61,-2.87,5,6,0,
27/01/2010,22:37:40,-54.000369,-36.213863,0,10.64433,-0.12,-2.87,7,8,0,
27/01/2010,22:30:06,-54.001326,-36.213633,0,0.701761,0.8,-2.75,4,5,0,
27/01/2010,22:23:52,-54.001034,-36.21235,0,16.725781,0.08,-2.75,6,7,0,
27/01/2010,22:09:33,-54.00192,-36.214189,0,4.628266,-0.11,-2.83,7,8,0,
27/01/2010,21:59:18,-54.002052,-36.215135,0,4.088968,0.17,-2.72,7,8,0,
27/01/2010,21:54:02,-54.002018,-36.215741,0,7.233922,-0.59,-2.89,6,7,0,
27/01/2010,21:49:40,-54.002094,-36.215263,0,9.259131,0.02,-2.3,6,7,0,
27/01/2010,21:40:28,-54.001945,-36.207944,0,9.223752,0.5,-2.32,7,8,0,
27/01/2010,21:31:07,-53.998363,-36.203822,0,0.684726,0.55,-2.82,4,5,0,
27/01/2010,21:16:18,-53.996912,-36.194749,0,13.014797,0.4,-2.82,5,6,0,
27/01/2010,21:10:00,-53.994415,-36.193371,0,11.95669,-0.04,-2.82,6,7,0,
27/01/2010,21:05:17,-53.986575,-36.202727,0,0.330785,0.49,-2.78,4,4,0,
27/01/2010,21:00:01,-53.994945,-36.196347,0,3.765257,0.51,-2.78,5,6,0,
27/01/2010,20:55:00,-53.995867,-36.197906,0,15.28635,0.03,-2.78,7,8,0,
27/01/2010,20:50:00,-53.996383,-36.199323,0,8.282823,-0.04,-2.81,7,8,0,
27/01/2010,20:44:00,-53.997216,-36.200673,0,7.447141,-0.15,-2.77,7,8,0,
27/01/2010,20:37:00,-53.997708,-36.202047,0,0.271312,0.55,-2.62,4,4,0,
27/01/2010,20:21:08,-54.000932,-36.203927,0,13.695247,0.67,-2.62,5,6,0,
27/01/2010,20:15:00,-54.003285,-36.207407,0,24.898187,0.6,-2.62,5,6,0,
27/01/2010,20:09:05,-54.001799,-36.212441,0,0.330446,0.86,-2.62,4,4,0,
