Date,Time,Latitude,Longitude,Altitude,Residual Error,Clock Error,Cumulative Clock Error,No Sats Used,No Sats Provided,Duplicates,Notes
02/01/2010,14:02:00,-54.246831,-36.517261,0,4.27251,-2.1,-8.14,4,5,0,
02/01/2010,13:57:00,-54.244923,-36.492597,0,6.882765,0.04,-8.14,7,8,0,
02/01/2010,13:52:00,-54.245194,-36.493547,0,10.688331,-0.07,-8.18,6,7,0,
02/01/2010,13:47:00,-54.24492,-36.4925,0,7.126655,0.01,-8.11,6,7,0,
02/01/2010,13:42:00,-54.24489,-36.492591,0,1.316121,-0.04,-8.12,6,7,0,
02/01/2010,13:37:00,-54.24484,-36.4921,0,12.795893,0.03,-8.08,7,8,0,
02/01/2010,13:32:00,-54.24493,-36.492477,0,3.91048,0,-8.11,5,6,0,
02/01/2010,13:27:00,-54.244865,-36.49271,0,0.442401,-0.01,-8.11,4,5,0,
02/01/2010,13:22:00,-54.245051,-36.492712,0,9.181144,-0.04,-8.11,7,8,0,
02/01/2010,13:17:00,-54.244943,-36.492479,0,10.785071,0.03,-8.07,7,8,0,
02/01/2010,13:12:00,-54.244871,-36.492692,0,3.67363,-0.01,-8.1,7,8,0,
02/01/2010,13:07:00,-54.244875,-36.492586,0,9.312073,0.01,-8.09,6,7,0,
02/01/2010,13:02:00,-54.244851,-36.492549,0,8.011256,-0.01,-8.1,7,8,0,
02/01/2010,12:57:00,-54.245158,-36.492884,0,10.058489,-0.01,-8.09,5,6,0,
02/01/2010,12:52:00,-54.244439,-36.492365,0,3.922459,0.01,-8.09,6,7,0,
02/01/2010,12:47:00,-54.244854,-36.492413,0,6.636937,-0.01,-8.1,6,7,0,
02/01/2010,12:41:00,-54.244917,-36.492953,0,9.833103,-0.01,-8.09,6,7,0,
02/01/2010,12:36:00,-54.244697,-36.492569,0,6.880711,0.01,-8.08,6,7,0,
02/01/2010,12:31:00,-54.244839,-36.492703,0,3.097869,0,-8.09,5,5,0,
02/01/2010,12:26:00,-54.244755,-36.492684,0,8.599719,-0.02,-8.09,6,7,0,
02/01/2010,12:21:00,-54.244597,-36.493088,0,9.698423,0.02,-8.07,5,6,0,
02/01/2010,12:16:00,-54.244874,-36.492808,0,10.432426,-0.01,-8.07,7,8,0,
02/01/2010,12:11:00,-54.244912,-36.492573,0,10.569566,0.04,-8.06,6,7,0,
02/01/2010,12:06:00,-54.244897,-36.492855,0,9.559687,-0.03,-8.1,7,8,0,
