Date,Time,Latitude,Longitude,Altitude,Residual Error,Clock Error,Cumulative Clock Error,No Sats Used,No Sats Provided,Duplicates,Notes
11/02/2010,23:30:00,-54.249563,-36.494051,0,8.015415,-0.21,-18.35,5,5,0,
11/02/2010,22:30:00,-54.249632,-36.494403,0,1.923279,-0.14,-18.35,4,4,0,
11/02/2010,21:26:00,-54.24967,-36.49474,0,12.478721,-0.37,-18.35,6,8,0,
11/02/2010,20:26:00,-54.249672,-36.494887,0,0.545077,-0.22,-17.98,4,5,0,
11/02/2010,19:26:00,-54.249826,-36.494377,0,2.939607,-0.13,-17.98,5,5,0,
11/02/2010,18:26:00,-54.249562,-36.494927,0,12.943226,-0.83,-17.98,7,7,0,
11/02/2010,13:10:00,-54.249893,-36.494649,0,6.692894,-0.41,-17.15,6,6,0,
11/02/2010,12:10:00,-54.249877,-36.494108,0,11.985314,-0.23,-16.74,5,5,0,
11/02/2010,10:03:00,-54.249754,-36.494305,0,9.673928,-0.02,-16.74,7,7,0,
11/02/2010,09:58:00,-54.249785,-36.494178,0,18.474609,-0.01,-16.72,7,7,0,
11/02/2010,09:53:00,-54.249699,-36.49427,0,8.759289,-0.02,-16.71,7,7,0,
11/02/2010,09:48:00,-54.249637,-36.494483,0,8.87583,-0.02,-16.69,7,7,0,
11/02/2010,09:43:00,-54.249278,-36.494575,0,12.42744,0.05,-16.67,5,5,0,
11/02/2010,09:38:00,-54.249584,-36.49451,0,3.576445,-0.01,-16.67,6,6,0,
11/02/2010,09:22:00,-54.249666,-36.494361,0,2.672284,0.02,-16.66,5,5,0,
11/02/2010,09:17:00,-54.249475,-36.495135,0,4.540986,-0.08,-16.66,6,6,0,
11/02/2010,09:12:00,-54.249518,-36.494331,0,4.969574,0.05,-16.58,6,6,0,
11/02/2010,09:07:00,-54.249444,-36.494482,0,20.634729,-0.09,-16.63,6,6,0,
11/02/2010,08:49:00,-54.249908,-36.493282,0,0.159896,0.04,-16.54,4,4,0,
11/02/2010,08:41:00,-54.249503,-36.495779,0,0.070204,-0.17,-16.54,4,4,0,
11/02/2010,08:36:00,-54.249887,-36.495921,0,0.196811,-0.14,-16.54,4,4,0,
11/02/2010,08:31:00,-54.249926,-36.495004,0,4.889574,-0.07,-16.54,5,5,0,
11/02/2010,08:26:00,-54.250278,-36.495027,0,4.768916,-0.82,-16.54,6,6,0,
11/02/2010,08:21:00,-54.251268,-36.496097,0,5.406595,-0.78,-15.72,5,5,0,
11/02/2010,08:14:00,-54.251624,-36.500923,0,6.238135,-1.14,-15.72,5,6,0,
11/02/2010,08:09:00,-54.253433,-36.500491,0,1.563666,-0.93,-15.72,5,5,0,
11/02/2010,08:04:01,-54.251566,-36.50278,0,5.402137,-0.3,-15.72,5,5,0,
11/02/2010,07:55:11,-54.244272,-36.499869,0,0.681695,-0.49,-15.72,4,4,0,
11/02/2010,07:46:04,-54.238985,-36.489272,0,0.276728,-0.79,-15.72,4,4,0,
11/02/2010,07:41:08,-54.23778,-36.480184,0,4.165656,0.15,-15.72,6,7,0,
11/02/2010,07:36:03,-54.237857,-36.470939,0,0.244963,0.17,-15.87,4,4,0,
11/02/2010,07:27:09,-54.237326,-36.457976,0,20.535042,-0.19,-15.87,6,7,0,
11/02/2010,07:18:06,-54.236845,-36.442607,0,9.713903,0.6,-15.68,6,6,0,
11/02/2010,07:09:01,-54.237168,-36.427018,0,16.935798,-0.51,-16.28,6,7,0,
11/02/2010,06:54:01,-54.236749,-36.404595,0,3.518463,-0.05,-15.77,6,7,0,
11/02/2010,06:18:00,-54.232177,-36.351357,0,4.991362,-0.08,-15.72,6,6,0,
11/02/2010,05:33:02,-54.233134,-36.272826,0,3.050899,-0.25,-15.64,6,6,0,
11/02/2010,02:52:01,-54.255163,-35.960592,0,5.105327,-0.04,-15.39,5,5,0,
11/02/2010,00:10:04,-54.275027,-35.766337,0,2.984212,-0.14,-15.39,5,5,0,
10/02/2010,23:52:04,-54.27661,-35.739606,0,0.668987,-0.35,-15.39,4,4,0,
10/02/2010,23:06:04,-54.270892,-35.681552,0,6.365383,-0.06,-15.39,7,8,0,
10/02/2010,22:04:02,-54.247251,-35.605848,0,11.295939,-0.04,-15.33,5,6,0,
10/02/2010,21:47:03,-54.242027,-35.5985,0,1.372586,0.23,-15.33,5,6,0,
10/02/2010,21:29:01,-54.240192,-35.602129,0,10.679024,-0.31,-15.33,7,8,0,
10/02/2010,21:15:32,-54.238097,-35.603621,0,0.870683,-0.57,-15.02,4,4,0,
10/02/2010,21:01:02,-54.23766,-35.610365,0,0.144903,-0.32,-15.02,4,4,0,
