Date,Time,Latitude,Longitude,Logger ID,Deployment,Altitude,R-Err,C-Err,Total C-Err,No satellites used,No satellites provided,Duplicates,Notes
26/12/2009,13:57:00,-54.103626,-37.658264,SFL00000421,WH6,0,11.422939,9.79,-3.13,4,4,0,
26/12/2009,14:01:59,-54.104855,-37.666302,SFL00000421,WH6,0,12.269543,9.49,-3.13,4,5,0,
26/12/2009,14:06:59,-54.082241,-37.645233,SFL00000421,WH6,0,29.209885,9.59,-3.13,4,4,0,
26/12/2009,14:12:00,-54.10339,-37.655705,SFL00000421,WH6,0,2.942433,9.79,-3.13,4,4,0,
26/12/2009,14:17:59,-54.104262,-37.665619,SFL00000421,WH6,0,1.601628,8.34,6.74,6,6,0,
26/12/2009,14:24:59,-54.104565,-37.665766,SFL00000421,WH6,0,1.315863,0.25,6.74,4,5,0,
26/12/2009,14:30:00,-54.104103,-37.665984,SFL00000421,WH6,0,12.796379,7.35,5.99,6,6,0,
26/12/2009,14:35:59,-54.104703,-37.666021,SFL00000421,WH6,0,23.937305,9.79,6.88,6,7,0,
26/12/2009,14:41:00,-54.104191,-37.665637,SFL00000421,WH6,0,0.640168,-0.9,6.88,4,5,0,
26/12/2009,14:46:00,-54.104424,-37.663389,SFL00000421,WH6,0,0.559404,-0.7,6.88,4,5,0,
26/12/2009,14:51:00,-54.104454,-37.667337,SFL00000421,WH6,0,0.180976,-1.08,6.88,4,4,0,
26/12/2009,14:55:59,-54.104466,-37.66504,SFL00000421,WH6,0,8.480634,0.11,6.88,5,6,0,
26/12/2009,15:00:59,-54.104083,-37.66631,SFL00000421,WH6,0,7.014919,8.73,6.87,6,7,0,
26/12/2009,15:06:00,-54.104772,-37.665349,SFL00000421,WH6,0,6.599381,8.86,5.85,6,6,0,
26/12/2009,15:11:00,-54.104403,-37.666008,SFL00000421,WH6,0,3.385806,0.04,5.89,7,8,0,
26/12/2009,15:15:59,-54.104271,-37.666139,SFL00000421,WH6,0,6.925406,9.29,6.89,7,8,0,
26/12/2009,15:22:00,-54.103953,-37.666722,SFL00000421,WH6,0,9.507282,-0.94,5.95,6,7,0,
26/12/2009,15:27:00,-54.104052,-37.666284,SFL00000421,WH6,0,15.839741,-0.08,5.87,6,7,0,
26/12/2009,15:31:59,-54.104787,-37.665581,SFL00000421,WH6,0,2.934346,8.53,6.9,6,6,0,
26/12/2009,15:36:59,-54.104776,-37.665331,SFL00000421,WH6,0,7.051795,-0.05,6.9,5,6,0,
26/12/2009,15:42:00,-54.104376,-37.666224,SFL00000421,WH6,0,11.596324,-1.08,6.9,5,5,0,
26/12/2009,16:45:00,-54.104453,-37.665878,SFL00000421,WH6,0,0.216709,7.83,-2.1,4,5,0,
26/12/2009,17:44:59,-54.108934,-37.731965,SFL00000421,WH6,0,18.26856,1.79,-2.1,4,6,0,
26/12/2009,18:45:00,-54.104345,-37.665907,SFL00000421,WH6,0,8.717765,8.78,5.5,8,8,0,
26/12/2009,19:45:00,-54.104324,-37.665957,SFL00000421,WH6,0,5.342994,7.09,5.4,6,6,0,
26/12/2009,20:44:59,-54.104555,-37.666127,SFL00000421,WH6,0,10.486942,8.16,6.28,7,7,0,
26/12/2009,22:48:59,-54.104217,-37.665746,SFL00000421,WH6,0,12.228861,9.64,6.06,7,8,0,
26/12/2009,23:48:59,-54.104126,-37.666142,SFL00000421,WH6,0,0.283826,-0.18,6.06,4,5,0,
27/12/2009,00:49:00,-54.104429,-37.666552,SFL00000421,WH6,0,18.946147,6.92,4.8,7,8,0,
27/12/2009,01:48:59,-54.103758,-37.6653,SFL00000421,WH6,0,1.015151,8.08,-2.37,5,5,0,
27/12/2009,02:48:59,-54.104398,-37.666139,SFL00000421,WH6,0,0.611336,7.59,-1.99,5,5,0,
27/12/2009,03:49:00,-54.104476,-37.666005,SFL00000421,WH6,0,10.7522,6.51,4.52,8,8,0,
27/12/2009,04:48:59,-54.104301,-37.665812,SFL00000421,WH6,0,11.591475,9.16,5.45,8,8,0,
27/12/2009,05:48:59,-54.104352,-37.66629,SFL00000421,WH6,0,3.869347,8.37,5.29,8,8,0,
27/12/2009,06:49:00,-54.104611,-37.665706,SFL00000421,WH6,0,7.489234,6.45,4.19,7,7,0,
27/12/2009,07:48:59,-54.104455,-37.665863,SFL00000421,WH6,0,8.740278,8.28,5.12,8,8,0,
27/12/2009,09:52:03,-54.128055,-37.71857,SFL00000421,WH6,0,13.571339,6.53,-2.49,5,6,0,
27/12/2009,09:57:03,-54.129623,-37.720014,SFL00000421,WH6,0,7.256506,6.75,4.26,6,7,0,
27/12/2009,10:02:02,-54.131266,-37.722051,SFL00000421,WH6,0,7.751742,7.3,-2.76,5,5,0,
27/12/2009,10:11:08,-54.134144,-37.726408,SFL00000421,WH6,0,1.563752,6.8,-2.76,4,4,0,
27/12/2009,10:17:28,-54.136444,-37.729899,SFL00000421,WH6,0,0.492973,6.8,-2.76,4,4,0,
27/12/2009,10:22:05,-54.138985,-37.733927,SFL00000421,WH6,0,0.961692,7.65,-2.25,4,4,0,
27/12/2009,10:28:31,-54.145277,-37.736948,SFL00000421,WH6,0,2.545863,6.51,-2.25,5,5,0,
27/12/2009,10:34:00,-54.150118,-37.741447,SFL00000421,WH6,0,9.421863,6.41,-2.25,5,6,0,
27/12/2009,10:41:21,-50.963611,-42.85325,SFL00000421,WH6,0,13.991107,8.79,-2.25,4,4,0,
27/12/2009,10:48:25,-54.163014,-37.752607,SFL00000421,WH6,0,0.586132,6.76,-2.25,4,4,0,
27/12/2009,10:53:00,-54.166627,-37.754848,SFL00000421,WH6,0,0.714343,7.13,-2.25,4,4,0,
27/12/2009,11:00:04,-54.170993,-37.757079,SFL00000421,WH6,0,0.336287,6.69,-2.25,4,4,0,
27/12/2009,11:09:18,-54.178529,-37.76198,SFL00000421,WH6,0,4.822926,7.19,-2.25,4,4,0,
27/12/2009,11:17:55,-54.190216,-37.765086,SFL00000421,WH6,0,13.707756,6.14,-2.25,5,5,0,
27/12/2009,11:36:00,-54.242466,-37.859462,SFL00000421,WH6,0,0.293417,-0.98,-2.25,4,4,0,
27/12/2009,11:41:20,-54.209866,-37.763983,SFL00000421,WH6,0,0.24522,5.7,-2.25,4,5,0,
27/12/2009,11:56:11,-54.221239,-37.757265,SFL00000421,WH6,0,9.869206,7.83,4.88,6,6,0,
27/12/2009,12:02:04,-54.224613,-37.753275,SFL00000421,WH6,0,12.950638,-0.93,4.88,5,5,0,
27/12/2009,12:25:00,-54.235093,-37.757133,SFL00000421,WH6,0,5.568679,7.85,4.5,6,7,0,
27/12/2009,12:34:10,-54.240365,-37.757255,SFL00000421,WH6,0,1.64026,-0.25,4.5,4,4,0,
27/12/2009,12:58:25,-54.262152,-37.758279,SFL00000421,WH6,0,1.923055,6.46,-2.23,5,6,0,
27/12/2009,13:03:59,-54.267917,-37.759624,SFL00000421,WH6,0,5.821632,7.44,5.21,7,8,0,
27/12/2009,13:10:12,-54.273488,-37.761667,SFL00000421,WH6,0,1.741443,8.04,-3.83,4,5,0,
27/12/2009,13:16:12,-54.280179,-37.762086,SFL00000421,WH6,0,0.864775,5.77,-2.4,4,4,0,
27/12/2009,13:30:12,-54.292409,-37.77591,SFL00000421,WH6,0,0.388842,7.62,-3.37,4,4,0,
27/12/2009,13:56:14,-54.316394,-37.794543,SFL00000421,WH6,0,0.084885,6.68,-3.37,4,5,0,
27/12/2009,14:03:12,-54.3235,-37.799436,SFL00000421,WH6,0,0.605378,7.06,-3.37,5,6,0,
27/12/2009,14:29:25,-54.349394,-37.820045,SFL00000421,WH6,0,0.983744,6.87,-2,5,6,0,
27/12/2009,14:38:10,-54.358479,-37.828395,SFL00000421,WH6,0,12.377821,5.85,-2.2,5,6,0,
27/12/2009,15:02:11,-54.381425,-37.842101,SFL00000421,WH6,0,0.483188,8.3,-4.2,5,6,0,
27/12/2009,15:26:09,-54.383699,-37.843264,SFL00000421,WH6,0,2.673392,7.24,3.68,7,8,0,
27/12/2009,15:32:05,-54.385279,-37.843273,SFL00000421,WH6,0,4.335252,8.36,4.52,6,7,0,
27/12/2009,15:37:48,-54.388215,-37.844956,SFL00000421,WH6,0,1.491782,6.9,-3.71,4,5,0,
27/12/2009,15:43:49,-54.393832,-37.84718,SFL00000421,WH6,0,9.425436,7.26,3.55,7,7,0,
27/12/2009,16:23:59,-54.426153,-37.855149,SFL00000421,WH6,0,7.874571,8.35,4.98,6,6,0,
27/12/2009,16:40:22,-54.426797,-37.853072,SFL00000421,WH6,0,1.000066,8.87,-3.98,5,6,0,
27/12/2009,16:51:54,-54.426906,-37.852572,SFL00000421,WH6,0,2.916452,7.69,-3.98,5,6,0,
27/12/2009,18:51:02,-54.43037,-37.838316,SFL00000421,WH6,0,2.165291,6.5,-3.58,5,5,0,
27/12/2009,19:07:26,-54.43562,-37.838275,SFL00000421,WH6,0,0.894047,6.63,-3.58,4,4,0,
27/12/2009,19:15:05,-54.438011,-37.837942,SFL00000421,WH6,0,4.535057,8.64,4.56,6,6,0,
27/12/2009,19:24:24,-54.440386,-37.83792,SFL00000421,WH6,0,3.912798,-0.65,3.91,6,6,0,
27/12/2009,19:58:03,-54.43554,-37.842782,SFL00000421,WH6,0,0.260237,6.93,-3.1,4,4,0,
27/12/2009,20:04:00,-54.434093,-37.839411,SFL00000421,WH6,0,6.540411,7.38,-3.48,5,5,0,
27/12/2009,20:33:00,-54.43308,-37.829704,SFL00000421,WH6,0,0.215402,7.55,-3.29,4,4,0,
27/12/2009,20:40:04,-54.430791,-37.824601,SFL00000421,WH6,0,11.49597,6.86,3.57,7,7,0,
27/12/2009,21:00:06,-54.431106,-37.826899,SFL00000421,WH6,0,0.891846,0.7,3.57,4,4,0,
27/12/2009,21:09:00,-54.43278,-37.82401,SFL00000421,WH6,0,14.555233,-0.5,3.07,6,6,0,
27/12/2009,21:15:13,-54.433674,-37.82221,SFL00000421,WH6,0,0.293037,7.71,-4.03,4,4,0,
27/12/2009,21:20:07,-54.434785,-37.820551,SFL00000421,WH6,0,5.468252,8.61,-4.03,5,5,0,
27/12/2009,21:26:29,-54.436777,-37.819914,SFL00000421,WH6,0,10.546186,7.68,-3.67,5,5,0,
27/12/2009,21:40:01,-54.441477,-37.821279,SFL00000421,WH6,0,8.981332,7.93,4.54,6,6,0,
27/12/2009,22:17:10,-54.442307,-37.825305,SFL00000421,WH6,0,0.701389,7.33,-4.04,4,4,0,
27/12/2009,22:22:04,-54.438682,-37.8237,SFL00000421,WH6,0,3.143247,7.03,4.08,7,8,0,
27/12/2009,22:53:00,-54.436113,-37.818211,SFL00000421,WH6,0,3.598082,7.12,-2.83,5,6,0,
28/12/2009,00:52:54,-54.426396,-37.792275,SFL00000421,WH6,0,8.015463,6.01,2.79,7,8,0,
28/12/2009,00:58:00,-54.425523,-37.791393,SFL00000421,WH6,0,8.43124,0.1,2.89,6,7,0,
28/12/2009,01:23:40,-54.423465,-37.78679,SFL00000421,WH6,0,11.893074,1.51,4.4,7,8,0,
28/12/2009,01:28:05,-54.422297,-37.786423,SFL00000421,WH6,0,8.242619,-0.98,3.42,6,7,0,
28/12/2009,01:52:59,-54.418048,-37.780334,SFL00000421,WH6,0,12.487959,0.82,4.24,7,8,0,
28/12/2009,01:58:01,-54.417522,-37.779984,SFL00000421,WH6,0,0.353093,-1.63,4.24,4,5,0,
28/12/2009,02:14:01,-54.415285,-37.777011,SFL00000421,WH6,0,7.408634,5.88,-3.23,5,6,0,
28/12/2009,02:32:02,-54.412454,-37.776785,SFL00000421,WH6,0,0.131821,5.51,-2.82,4,4,0,
28/12/2009,02:53:45,-54.410398,-37.776011,SFL00000421,WH6,0,0.160848,7.06,-4.4,4,4,0,
28/12/2009,03:05:19,-54.409244,-37.774009,SFL00000421,WH6,0,5.503241,7.84,-4.4,5,5,0,
28/12/2009,03:36:13,-54.405348,-37.774886,SFL00000421,WH6,0,7.60657,7.83,3.43,7,7,0,
28/12/2009,03:41:00,-54.405336,-37.774151,SFL00000421,WH6,0,10.160745,0.18,3.61,6,6,0,
28/12/2009,03:47:57,-54.403511,-37.773312,SFL00000421,WH6,0,3.560551,6.75,-3.78,5,5,0,
28/12/2009,04:17:05,-54.401229,-37.774777,SFL00000421,WH6,0,1.997301,8.19,3.95,6,6,0,
28/12/2009,04:24:09,-54.400299,-37.774432,SFL00000421,WH6,0,12.915849,5.11,2.43,8,8,0,
28/12/2009,05:19:03,-54.397011,-37.775828,SFL00000421,WH6,0,11.433533,6.41,3.25,8,8,0,
28/12/2009,05:24:00,-54.396465,-37.777038,SFL00000421,WH6,0,0.897772,-0.06,3.25,4,4,0,
28/12/2009,05:29:36,-54.396266,-37.775691,SFL00000421,WH6,0,5.643348,5.07,2.24,7,7,0,
28/12/2009,05:45:22,-54.39667,-37.780839,SFL00000421,WH6,0,5.298077,5.55,2.6,8,8,0,
28/12/2009,05:53:20,-54.396682,-37.781272,SFL00000421,WH6,0,11.478158,7.82,3.34,7,7,0,
28/12/2009,06:07:01,-54.397265,-37.781932,SFL00000421,WH6,0,4.410553,7.92,4.07,8,8,0,
28/12/2009,06:31:05,-54.401339,-37.797056,SFL00000421,WH6,0,0.616662,-1.68,4.07,4,4,0,
28/12/2009,07:30:59,-54.402355,-37.831668,SFL00000421,WH6,0,8.276835,8.29,3.64,8,8,0,
28/12/2009,07:48:00,-54.401918,-37.836621,SFL00000421,WH6,0,19.06242,0.06,3.7,6,6,0,
28/12/2009,08:03:59,-54.402997,-37.84022,SFL00000421,WH6,0,1.091763,6.65,-2.9,4,4,0,
28/12/2009,08:10:01,-54.40065,-37.839725,SFL00000421,WH6,0,18.237262,5.73,2.83,7,7,0,
28/12/2009,08:35:00,-54.399825,-37.840532,SFL00000421,WH6,0,19.767437,0.02,2.85,7,7,0,
28/12/2009,08:41:09,-54.400455,-37.842789,SFL00000421,WH6,0,6.884707,0.96,2.85,5,5,0,
28/12/2009,09:34:01,-54.401533,-37.848637,SFL00000421,WH6,0,6.270107,7.54,3.07,6,6,0,
28/12/2009,09:49:59,-54.4016,-37.848397,SFL00000421,WH6,0,5.823032,0.66,3.73,6,6,0,
28/12/2009,10:31:01,-54.401274,-37.857428,SFL00000421,WH6,0,0.760337,-1.93,3.73,4,4,0,
28/12/2009,10:36:10,-54.402756,-37.85812,SFL00000421,WH6,0,0.428075,0.07,3.73,4,4,0,
28/12/2009,10:44:07,-54.40374,-37.857838,SFL00000421,WH6,0,0.62916,-0.58,3.73,4,4,0,
28/12/2009,11:02:00,-54.402981,-37.858905,SFL00000421,WH6,0,1.330304,-0.6,3.73,4,5,0,
28/12/2009,11:35:00,-54.406667,-37.877455,SFL00000421,WH6,0,0.391527,-0.54,3.73,4,4,0,
28/12/2009,11:40:05,-54.404255,-37.884433,SFL00000421,WH6,0,0.265617,-1.75,3.73,4,5,0,
28/12/2009,11:45:22,-54.408021,-37.877961,SFL00000421,WH6,0,2.728562,-1.89,3.73,5,6,0,
28/12/2009,12:10:03,-54.408535,-37.899014,SFL00000421,WH6,0,3.027999,7.48,2.91,6,7,0,
28/12/2009,12:22:50,-54.406121,-37.897446,SFL00000421,WH6,0,6.651838,5.64,1.81,6,6,0,
28/12/2009,12:39:03,-54.406271,-37.899125,SFL00000421,WH6,0,6.152036,6.9,-4.49,5,6,0,
28/12/2009,12:44:07,-54.407089,-37.898978,SFL00000421,WH6,0,0.453772,6.47,-4.49,5,6,0,
28/12/2009,12:58:59,-54.407093,-37.899712,SFL00000421,WH6,0,13.054848,7.09,3.26,7,8,0,
28/12/2009,13:06:06,-54.405742,-37.899457,SFL00000421,WH6,0,0.15009,7.64,-4.9,4,4,0,
28/12/2009,13:11:01,-54.40499,-37.898123,SFL00000421,WH6,0,14.37295,7.12,2.22,6,7,0,
28/12/2009,14:06:05,-54.407705,-37.923069,SFL00000421,WH6,0,10.398959,6.79,2.16,7,8,0,
28/12/2009,14:51:00,-54.41921,-37.931589,SFL00000421,WH6,0,9.647378,7.55,2.74,7,8,0,
28/12/2009,15:43:00,-54.426796,-37.961326,SFL00000421,WH6,0,0.822195,6.45,-3.32,4,5,0,
28/12/2009,17:02:17,-54.422758,-37.948748,SFL00000421,WH6,0,19.552085,7.01,-5,5,6,0,
28/12/2009,17:07:02,-54.422164,-37.948303,SFL00000421,WH6,0,0.278539,7.25,-5,4,5,0,
28/12/2009,17:33:50,-54.469335,-37.953642,SFL00000421,WH6,0,21.6124,1.79,-5,4,4,0,
28/12/2009,18:12:47,-54.417438,-37.943572,SFL00000421,WH6,0,10.409074,6.67,1.67,6,6,0,
28/12/2009,18:57:11,-54.43368,-37.97687,SFL00000421,WH6,0,13.879089,0.79,1.67,5,5,0,
28/12/2009,19:02:21,-54.434285,-37.978771,SFL00000421,WH6,0,16.230882,0.93,1.67,5,5,0,
28/12/2009,19:09:33,-54.434985,-37.981839,SFL00000421,WH6,0,10.040979,1.09,1.67,5,5,0,
28/12/2009,19:24:14,-54.435343,-37.989782,SFL00000421,WH6,0,9.894579,-0.11,1.67,5,5,0,
28/12/2009,19:29:09,-54.434818,-37.988437,SFL00000421,WH6,0,2.754288,0.94,1.67,5,5,0,
28/12/2009,19:44:55,-54.433858,-37.988735,SFL00000421,WH6,0,1.208091,7.8,-4.72,4,4,0,
28/12/2009,20:11:04,-54.429654,-37.991794,SFL00000421,WH6,0,0.142905,7.34,-4.72,4,4,0,
28/12/2009,20:20:09,-54.429564,-37.992393,SFL00000421,WH6,0,0.709332,6.09,-4.72,4,4,0,
28/12/2009,20:28:01,-54.428638,-37.991754,SFL00000421,WH6,0,7.260948,6.35,1.63,6,6,0,
28/12/2009,20:34:18,-54.428125,-37.991582,SFL00000421,WH6,0,15.636717,0.98,2.61,8,8,0,
28/12/2009,21:09:26,-54.425213,-38.004187,SFL00000421,WH6,0,2.963297,0.01,2.62,6,6,0,
28/12/2009,21:18:01,-54.429065,-38.010048,SFL00000421,WH6,0,15.896939,-0.01,2.62,4,4,0,
28/12/2009,21:59:21,-54.426731,-38.003535,SFL00000421,WH6,0,10.583701,6.72,1.54,7,7,0,
28/12/2009,22:18:00,-54.420799,-38.010025,SFL00000421,WH6,0,14.507292,0.1,1.64,7,8,0,
28/12/2009,22:32:11,-54.415408,-38.012425,SFL00000421,WH6,0,0.263768,6.52,-5.08,4,5,0,
28/12/2009,23:27:03,-54.391979,-38.021548,SFL00000421,WH6,0,0.089984,6.39,-5.2,4,5,0,
28/12/2009,23:43:48,-54.386531,-38.031211,SFL00000421,WH6,0,0.325645,7.1,-4.3,4,5,0,
28/12/2009,23:53:59,-54.386256,-38.033944,SFL00000421,WH6,0,0.414534,7.12,-4.3,4,5,0,
28/12/2009,23:59:45,-54.386483,-38.033251,SFL00000421,WH6,0,4.904428,5.58,1.28,6,7,0,
29/12/2009,00:09:27,-54.386815,-38.040266,SFL00000421,WH6,0,0.272469,0.68,1.28,4,4,0,
29/12/2009,01:07:01,-54.390351,-38.046967,SFL00000421,WH6,0,1.761491,5.84,-4.81,5,6,0,
29/12/2009,01:15:11,-54.390205,-38.048188,SFL00000421,WH6,0,10.949144,7.71,2.9,7,8,0,
29/12/2009,01:34:20,-54.393427,-38.052722,SFL00000421,WH6,0,20.736895,-0.46,2.44,7,8,0,
29/12/2009,02:23:49,-54.398438,-38.052171,SFL00000421,WH6,0,0.162291,6.3,-3.62,4,4,0,
29/12/2009,02:30:28,-54.398387,-38.055937,SFL00000421,WH6,0,4.36034,5.71,-3.62,5,5,0,
29/12/2009,02:45:38,-54.399222,-38.057603,SFL00000421,WH6,0,11.297207,6.05,-3.62,5,5,0,
29/12/2009,02:52:22,-54.400329,-38.057083,SFL00000421,WH6,0,4.808527,6.96,-4.9,5,5,0,
29/12/2009,02:58:38,-54.400424,-38.056565,SFL00000421,WH6,0,0.315494,6.07,-4.13,4,4,0,
29/12/2009,03:07:05,-54.401846,-38.057236,SFL00000421,WH6,0,0.828656,5.29,-4.13,4,4,0,
29/12/2009,03:12:02,-54.403054,-38.055954,SFL00000421,WH6,0,0.308789,5.28,-4.13,4,4,0,
29/12/2009,03:24:01,-54.4033,-38.056115,SFL00000421,WH6,0,14.380249,5.04,0.91,6,6,0,
29/12/2009,03:33:54,-54.404536,-38.055557,SFL00000421,WH6,0,15.37755,1.61,0.91,5,5,0,
29/12/2009,04:00:58,-54.407612,-38.053059,SFL00000421,WH6,0,9.593982,6.96,1.67,8,8,0,
29/12/2009,04:05:52,-54.407944,-38.052158,SFL00000421,WH6,0,5.120973,6.68,2.66,8,8,0,
29/12/2009,04:11:01,-54.408307,-38.051846,SFL00000421,WH6,0,8.488492,5.17,0.89,7,7,0,
29/12/2009,04:17:40,-54.409375,-38.051992,SFL00000421,WH6,0,16.435471,0.24,1.13,8,8,0,
29/12/2009,04:23:59,-54.410587,-38.051847,SFL00000421,WH6,0,0.898168,1.29,1.13,5,5,0,
29/12/2009,04:29:08,-54.410979,-38.04992,SFL00000421,WH6,0,14.124257,0.09,1.22,7,7,0,
29/12/2009,04:39:00,-54.411304,-38.048393,SFL00000421,WH6,0,3.696039,6.47,1.4,8,8,0,
29/12/2009,04:44:26,-54.411743,-38.048177,SFL00000421,WH6,0,10.733243,0.45,1.85,7,7,0,
29/12/2009,05:05:07,-54.41368,-38.044403,SFL00000421,WH6,0,10.655435,5.35,-4.2,5,5,0,
29/12/2009,05:12:00,-54.414423,-38.042386,SFL00000421,WH6,0,8.899577,5.28,1.08,8,8,0,
29/12/2009,05:20:04,-54.414396,-38.040583,SFL00000421,WH6,0,4.506938,5.49,0.78,7,7,0,
29/12/2009,05:26:08,-54.413869,-38.037555,SFL00000421,WH6,0,3.495969,5.82,1.81,7,7,0,
29/12/2009,05:33:38,-54.410875,-38.032113,SFL00000421,WH6,0,0.551136,6.91,-5.1,4,4,0,
29/12/2009,05:38:10,-54.410124,-38.029812,SFL00000421,WH6,0,6.545484,5.91,0.81,7,7,0,
29/12/2009,05:43:28,-54.407991,-38.026785,SFL00000421,WH6,0,6.139694,6.2,1.67,6,6,0,
29/12/2009,05:48:13,-54.406297,-38.023556,SFL00000421,WH6,0,10.858931,5.91,1.17,7,7,0,
29/12/2009,05:54:16,-54.403533,-38.019236,SFL00000421,WH6,0,0.466909,4.37,-3.75,4,4,0,
29/12/2009,05:59:06,-54.40133,-38.015379,SFL00000421,WH6,0,8.234346,6.12,1.39,7,7,0,
29/12/2009,06:04:00,-54.39836,-38.012106,SFL00000421,WH6,0,0.657371,-0.05,1.39,5,5,0,
29/12/2009,06:09:08,-54.396344,-38.007769,SFL00000421,WH6,0,10.602164,0.88,2.27,7,7,0,
29/12/2009,06:14:03,-54.394463,-38.002774,SFL00000421,WH6,0,14.354236,-0.78,1.49,6,6,0,
29/12/2009,06:19:12,-54.390772,-37.997965,SFL00000421,WH6,0,5.490172,0.2,1.49,5,5,0,
29/12/2009,06:24:01,-54.388357,-37.994207,SFL00000421,WH6,0,5.324193,-0.87,0.62,7,7,0,
29/12/2009,06:29:15,-54.386818,-37.990392,SFL00000421,WH6,0,1.470627,6.47,-4.76,5,5,0,
