Date,Time,Latitude,Longitude,Altitude,Residual Error,Clock Error,Cumulative Clock Error,No Sats Used,No Sats Provided,Duplicates,Notes
11/12/2009,10:43:00,-54.244768,-36.493212,0,5.54608,-0.14,9.42,5,5,0,
11/12/2009,09:43:00,-54.244565,-36.493633,0,0.122123,-0.1,9.42,4,4,0,
11/12/2009,08:43:00,-54.245022,-36.492745,0,8.661196,-0.05,9.42,8,8,0,
11/12/2009,06:34:00,-54.245184,-36.493019,0,6.581539,-0.04,9.47,6,6,0,
11/12/2009,05:34:00,-54.245023,-36.492865,0,10.90286,-0.06,9.51,7,7,0,
11/12/2009,04:34:00,-54.244517,-36.493533,0,1.741284,-0.08,9.57,4,4,0,
11/12/2009,03:34:00,-54.245187,-36.492595,0,10.292846,-0.04,9.57,5,7,0,
11/12/2009,02:34:00,-54.245041,-36.492996,0,3.545901,-0.02,9.57,6,8,0,
11/12/2009,01:34:00,-54.24513,-36.493139,0,0.98511,0,9.59,4,6,0,
11/12/2009,01:26:00,-54.245167,-36.492996,0,5.655252,0.01,9.59,6,6,0,
11/12/2009,01:21:00,-54.244803,-36.49218,0,0.64513,-0.03,9.58,5,5,0,
11/12/2009,01:16:00,-54.244739,-36.492929,0,3.037173,-0.02,9.58,5,5,0,
11/12/2009,01:11:00,-54.244985,-36.492885,0,10.528436,0.02,9.58,6,6,0,
11/12/2009,01:06:00,-54.24483,-36.494317,0,0.222134,-0.12,9.56,4,4,0,
11/12/2009,00:58:00,-54.245297,-36.491308,0,0.140401,0.19,9.56,4,4,0,
11/12/2009,00:53:00,-54.244945,-36.492141,0,4.525851,0.08,9.56,5,7,0,
11/12/2009,00:48:00,-54.245095,-36.493682,0,7.392168,0,9.56,6,8,0,
11/12/2009,00:43:00,-54.245291,-36.492953,0,4.58542,0.03,9.56,5,7,0,
11/12/2009,00:38:00,-54.244706,-36.492981,0,5.64782,0.06,9.56,5,7,0,
11/12/2009,00:33:00,-54.245138,-36.493229,0,5.571878,-0.03,9.56,6,6,0,
11/12/2009,00:28:00,-54.245231,-36.492653,0,8.427189,-0.01,9.59,6,7,0,
11/12/2009,00:23:00,-54.245035,-36.493026,0,6.28048,0.01,9.6,5,6,0,
11/12/2009,00:18:00,-54.245426,-36.493196,0,0.224007,-0.04,9.6,4,5,0,
11/12/2009,00:13:00,-54.245094,-36.493068,0,15.836416,-0.04,9.6,7,8,0,
11/12/2009,00:08:00,-54.244816,-36.492734,0,6.708332,0.02,9.64,6,7,0,
11/12/2009,00:03:00,-54.245562,-36.493623,0,11.932441,-0.02,9.62,5,7,0,
10/12/2009,23:58:00,-54.245149,-36.492453,0,18.703408,-0.01,9.62,6,7,0,
10/12/2009,23:53:00,-54.244915,-36.492967,0,7.594016,0.02,9.63,5,6,0,
10/12/2009,23:48:00,-54.243822,-36.4923,0,4.25392,0.14,9.63,5,6,0,
10/12/2009,23:43:00,-54.245129,-36.492876,0,22.405147,-0.02,9.63,6,7,0,
10/12/2009,23:38:00,-54.245042,-36.492596,0,21.44858,0.01,9.65,6,7,0,
10/12/2009,23:33:00,-54.245022,-36.492561,0,15.267702,-0.11,9.64,7,8,0,
10/12/2009,23:25:15,-54.239005,-36.48699,0,0.937479,-0.47,9.75,4,5,0,
10/12/2009,23:17:12,-54.234817,-36.475203,0,12.115921,-0.01,9.75,7,8,0,
10/12/2009,23:06:05,-54.225305,-36.463682,0,12.436777,0,9.76,6,6,0,
10/12/2009,22:55:07,-54.215539,-36.459282,0,13.307436,-0.13,9.76,7,8,0,
