Date,Time,No satellites used,Latitude,Longitude,Altitude,Clock offset,Accuracy indicator,Battery voltage
23/01/2012,10:11:59,2,0,0,0,9999.999,9999.999,4.1
23/01/2012,10:16:59,0,0,0,0,9999.999,9999.999,4.1
23/01/2012,10:21:59,1,0,0,0,9999.999,9999.999,4.1
23/01/2012,10:26:59,2,0,0,0,9999.999,9999.999,4.12
23/01/2012,10:31:59,3,0,0,0,9999.999,9999.999,4.12
23/01/2012,10:36:59,5,-54.008355,-38.052141,-78,9999.999,2.18333E-06,4.12
23/01/2012,10:41:59,1,0,0,0,9999.999,9999.999,4.1
23/01/2012,10:46:59,5,-54.007773,-38.051661,21,-5.76,5.17214E-06,4.1
23/01/2012,10:51:59,5,-54.007683,-38.05136,35,-5.705,7.63791E-07,4.1
23/01/2012,10:56:59,5,-54.008225,-38.051715,-35,-5.725,4.85335E-07,4.1
23/01/2012,11:01:59,6,-54.008125,-38.051634,4,-5.77,9.21082E-06,4.1
23/01/2012,11:06:59,7,-54.008485,-38.052086,45,-5.83,1.67518E-06,4.1
23/01/2012,11:11:59,6,-54.008427,-38.051834,93,-5.84,4.8198E-06,4.1
23/01/2012,11:16:59,6,-54.008719,-38.052041,-6,-5.835,2.53371E-06,4.1
23/01/2012,11:21:59,6,-54.008397,-38.052128,20,-5.855,6.01474E-06,4.1
23/01/2012,11:26:59,5,-54.008119,-38.051265,-11,-5.9,5.68965E-07,4.1
23/01/2012,11:31:59,6,-54.008351,-38.052162,45,-5.92,4.62329E-06,4.1
23/01/2012,11:36:59,6,-54.008318,-38.051908,-9,-5.9,6.66057E-06,4.1
23/01/2012,11:41:59,8,-54.008229,-38.051983,45,-5.89,3.18206E-06,4.1
23/01/2012,11:46:59,6,-54.008219,-38.052039,-22,-5.91,7.90811E-06,4.1
23/01/2012,11:51:59,7,-54.008283,-38.052285,-70,-5.945,1.11676E-05,4.1
23/01/2012,11:56:59,8,-54.008146,-38.051944,-8,-5.975,7.12307E-06,4.1
23/01/2012,12:01:59,7,-54.008241,-38.052025,-17,-6,8.00135E-06,4.1
23/01/2012,12:06:59,8,-54.008303,-38.051735,9,9999.999,4.55805E-06,4.1
