Date,Time,No satellites used,Latitude,Longitude,Altitude,Clock offset,Accuracy indicator,Battery voltage
02/02/2012,12:40:50,1,0,0,0,9999.999,9999.999,4.1
02/02/2012,12:45:50,0,0,0,0,9999.999,9999.999,4.12
02/02/2012,12:50:50,1,0,0,0,9999.999,9999.999,4.12
02/02/2012,12:55:50,1,0,0,0,9999.999,9999.999,4.12
02/02/2012,13:00:50,6,-54.008048,-38.051475,12,9999.999,3.24938E-06,4.12
02/02/2012,13:05:50,5,-54.008233,-38.052188,-24,-5.71,4.09518E-07,4.12
02/02/2012,13:10:50,3,0,0,0,9999.999,9999.999,4.1
02/02/2012,13:15:50,5,-54.007971,-38.052011,-60,-5.805,1.32832E-07,4.12
02/02/2012,13:20:50,5,-54.008477,-38.050678,39,-5.775,4.24325E-06,4.12
02/02/2012,13:25:50,7,-54.008287,-38.051471,53,-5.71,5.62291E-06,4.12
02/02/2012,13:30:50,3,0,0,0,9999.999,9999.999,4.12
02/02/2012,13:35:50,7,-54.008394,-38.051939,39,-5.755,7.31226E-06,4.12
02/02/2012,13:40:50,4,-54.008568,-38.0528,39,-5.845,1.19041E-06,4.12
02/02/2012,13:46:23,8,-54.009464,-38.052694,17,-5.9,1.08424E-05,4.12
02/02/2012,13:51:23,8,-54.009575,-38.052001,53,-5.88,1.26982E-05,4.12
02/02/2012,13:58:15,6,-54.009862,-38.052474,60,-5.6,8.38497E-06,4.12
02/02/2012,14:03:32,7,-54.010778,-38.053766,96,-5.115,5.92948E-06,4.12
02/02/2012,14:08:32,5,-54.011072,-38.055151,195,9999.999,3.03258E-06,4.12
02/02/2012,14:13:32,6,-54.011163,-38.054423,128,-6.885,5.1905E-06,4.12
02/02/2012,14:18:32,6,-54.011006,-38.054446,-3,9999.999,3.91816E-06,4.12
02/02/2012,14:23:32,5,-54.010952,-38.054445,6,-5.945,9.00918E-06,4.12
02/02/2012,14:28:32,7,-54.010997,-38.054369,31,9999.999,9.01957E-06,4.12
02/02/2012,14:33:32,7,-54.010523,-38.054349,-24,-5.985,8.69834E-06,4.12
02/02/2012,14:38:31,7,-54.010836,-38.054452,-79,-6.04,1.22719E-05,4.12
02/02/2012,14:43:31,4,-54.010362,-38.054234,-79,9999.999,1.27643E-06,4.12
02/02/2012,14:48:32,4,-54.01072,-38.056441,-79,-7.03,8.05811E-07,4.1
02/02/2012,14:53:30,3,0,0,0,9999.999,9999.999,4.12
02/02/2012,14:58:31,5,-54.011097,-38.054325,9,9999.999,8.77953E-07,4.1
02/02/2012,15:03:31,4,-54.011395,-38.054487,9,-7.105,5.69125E-07,4.1
02/02/2012,15:08:31,6,-54.011052,-38.054283,5,-7.155,5.86617E-07,4.12
02/02/2012,15:13:31,6,-54.011083,-38.054465,4,-7.14,7.44462E-06,4.1
02/02/2012,15:18:31,5,-54.010997,-38.054283,18,-7.115,2.10486E-07,4.1
02/02/2012,15:23:31,5,-54.01121,-38.053981,46,-7.11,4.13529E-07,4.1
02/02/2012,15:28:31,4,-54.011339,-38.054548,46,-7.18,4.10473E-07,4.1
02/02/2012,15:33:31,4,-54.011152,-38.054281,46,-7.245,5.89523E-07,4.1
02/02/2012,15:38:30,2,0,0,0,9999.999,9999.999,4.1
02/02/2012,15:43:31,4,-54.010467,-38.053991,46,-7.22,7.2449E-07,4.1
02/02/2012,15:48:31,6,-54.010943,-38.054436,26,-7.2,6.47827E-06,4.1
02/02/2012,15:53:31,5,-54.011162,-38.054281,-26,-7.23,1.19976E-06,4.1
02/02/2012,15:58:31,5,-54.011087,-38.054179,22,-7.27,1.56071E-06,4.1
02/02/2012,16:03:31,4,-54.011396,-38.054348,22,-7.285,1.10185E-07,4.1
02/02/2012,16:08:31,4,-54.011038,-38.054406,22,-7.275,2.72434E-07,4.1
02/02/2012,16:13:31,4,-54.011028,-38.054309,22,-7.28,1.30714E-06,4.1
02/02/2012,16:18:31,4,-54.011333,-38.054503,22,-7.31,8.63426E-07,4.1
02/02/2012,16:23:31,5,-54.012648,-38.055267,-26,-7.39,8.71697E-07,4.1
02/02/2012,16:28:31,4,-54.011469,-38.05495,-26,-7.465,1.30824E-07,4.1
02/02/2012,16:33:31,4,-54.01213,-38.053293,-26,-7.395,5.71786E-07,4.1
02/02/2012,16:38:30,3,0,0,0,9999.999,9999.999,4.1
02/02/2012,16:43:31,4,-54.011324,-38.053991,-26,-7.295,4.02476E-07,4.1
02/02/2012,16:48:31,5,-54.011554,-38.054133,-26,-7.325,4.51652E-06,4.1
02/02/2012,16:53:31,7,-54.011009,-38.054513,15,-7.425,2.71854E-06,4.1
02/02/2012,16:58:31,5,-54.010346,-38.055089,75,-7.525,1.90967E-06,4.1
02/02/2012,17:03:31,5,-54.011225,-38.054751,-24,9999.999,5.68484E-06,4.1
02/02/2012,17:19:24,10,-54.011261,-38.053694,23,-6.235,5.07058E-06,4.1
02/02/2012,17:32:53,6,-54.013757,-38.054406,6,9999.999,9.76657E-07,4.1
02/02/2012,17:51:46,2,0,0,0,9999.999,9999.999,4.1
02/02/2012,17:56:55,6,-54.021033,-38.045946,32,-7.315,9.00783E-07,4.1
02/02/2012,18:02:20,4,-54.021116,-38.045244,75,9999.999,1.06698E-06,4.1
