Date,Time,No satellites used,Latitude,Longitude,Altitude,Clock offset,Accuracy indicator,Battery voltage
02/02/2012,09:56:36,1,0,0,0,9999.999,9999.999,4.1
02/02/2012,10:01:36,3,0,0,0,9999.999,9999.999,4.1
02/02/2012,10:06:36,2,0,0,0,9999.999,9999.999,4.1
02/02/2012,10:11:36,0,0,0,0,9999.999,9999.999,4.1
02/02/2012,10:16:36,2,0,0,0,9999.999,9999.999,4.1
02/02/2012,10:21:36,1,0,0,0,9999.999,9999.999,4.1
02/02/2012,10:26:36,2,0,0,0,9999.999,9999.999,4.1
02/02/2012,10:31:36,2,0,0,0,9999.999,9999.999,4.1
02/02/2012,10:36:36,1,0,0,0,9999.999,9999.999,4.1
02/02/2012,10:41:36,2,0,0,0,9999.999,9999.999,4.1
02/02/2012,10:46:36,2,0,0,0,9999.999,9999.999,4.1
02/02/2012,10:51:36,1,0,0,0,9999.999,9999.999,4.1
02/02/2012,10:56:36,3,0,0,0,9999.999,9999.999,4.1
02/02/2012,11:01:36,6,-54.007128,-38.051681,67,9999.999,6.00042E-06,4.1
02/02/2012,11:06:36,8,-54.008315,-38.051584,28,9999.999,1.01047E-05,4.1
02/02/2012,11:11:46,9,-54.009266,-38.053615,-11,-8.45,2.71358E-06,4.1
02/02/2012,11:17:32,6,-54.010639,-38.053259,-7,9999.999,1.44436E-06,4.1
02/02/2012,11:27:16,3,0,0,0,9999.999,9999.999,4.1
02/02/2012,11:32:17,7,-54.010776,-38.051997,-1,9999.999,8.5318E-06,4.1
02/02/2012,11:37:55,7,-54.011839,-38.052448,-23,-8.645,3.47249E-06,4.1
02/02/2012,11:43:22,6,-54.011698,-38.05169,-12,9999.999,4.75574E-06,4.1
02/02/2012,11:50:25,5,-54.011878,-38.05214,-11,-7.44,1.64483E-07,4.1
02/02/2012,11:55:45,3,0,0,0,9999.999,9999.999,4.1
02/02/2012,12:00:45,6,-54.010871,-38.051893,47,9999.999,6.83098E-06,4.1
02/02/2012,12:05:45,7,-54.010975,-38.051968,16,-8.71,5.51225E-06,4.1
02/02/2012,12:11:10,4,-54.0113,-38.052636,-23,9999.999,2.04935E-06,4.1
02/02/2012,12:17:24,5,-54.01147,-38.053818,-3,-7.505,1.41299E-06,4.1
02/02/2012,12:23:05,4,-54.011017,-38.053715,-23,9999.999,1.9848E-06,4.1
02/02/2012,12:28:23,8,-54.010522,-38.053469,-58,-7.495,8.18696E-06,4.1
02/02/2012,12:33:23,3,0,0,0,9999.999,9999.999,4.1
02/02/2012,12:38:23,4,-54.00859,-38.051805,-58,9999.999,3.07431E-07,4.1
02/02/2012,12:43:23,6,-54.008942,-38.051574,-4,-8.805,2.49494E-06,4.1
02/02/2012,12:48:23,5,-54.009056,-38.052179,39,9999.999,1.23256E-06,4.1
