Date,Time,Latitude,Longitude,Altitude,Residual Error,Clock Error,Cumulative Clock Error,No Sats Used,No Sats Provided
13/01/2008,13:30:00,-54.392395,-36.253503,20,0.721854,4.88,0,4,4
13/01/2008,14:33:00,-54.390532,-36.254444,20,12.359211,4.29,4.29,7,7
13/01/2008,14:51:04,-54.390694,-36.256393,20,12.237748,-0.1,4.29,5,6
13/01/2008,15:48:00,-54.395289,-36.26252,20,0.490229,-1.45,4.29,4,4
13/01/2008,16:26:02,-54.407385,-36.298903,20,0.550576,-5,4.29,4,4
13/01/2008,16:41:00,-54.391653,-36.254573,20,21.194621,-0.14,4.15,8,8
13/01/2008,16:56:00,-54.392337,-36.254957,20,9.976107,-0.24,3.91,6,6
13/01/2008,17:11:00,-54.39234,-36.254512,20,4.162602,-0.55,3.91,5,5
13/01/2008,17:26:00,-54.392013,-36.25522,20,14.141725,0.23,4.14,6,6
13/01/2008,17:41:00,-54.392292,-36.25422,20,23.538764,-0.25,4.14,5,5
13/01/2008,18:06:00,-54.391448,-36.255885,20,0.387678,-0.25,4.14,4,4
13/01/2008,18:21:00,-54.393099,-36.259753,20,23.880923,-1.2,4.14,5,5
13/01/2008,18:45:00,-54.392867,-36.252833,20,0.722921,0.1,4.14,4,4
13/01/2008,19:27:00,-54.391391,-36.254777,20,20.519744,-0.29,4.14,5,5
13/01/2008,23:18:00,-54.390916,-36.254982,20,1.854995,-0.83,4.14,5,5
13/01/2008,23:33:00,-54.391578,-36.254617,20,9.237372,-0.18,3.96,6,6
13/01/2008,23:48:00,-54.392465,-36.254677,20,21.522017,-0.37,3.59,6,6
14/01/2008,00:09:00,-54.39073,-36.254229,20,4.937481,0.4,3.99,6,6
14/01/2008,00:48:00,-54.391889,-36.256881,20,0.223256,-1.06,3.99,4,4
14/01/2008,01:27:00,-54.392108,-36.25144,20,22.775757,-0.3,3.69,7,7
14/01/2008,01:42:00,-54.392057,-36.254214,20,24.05804,-0.54,3.15,8,8
14/01/2008,01:57:00,-54.391534,-36.255469,20,21.733386,0.67,3.82,8,8
14/01/2008,02:12:00,-54.392215,-36.255468,20,27.051878,-0.32,3.5,8,8
14/01/2008,02:48:00,-54.391957,-36.255591,20,7.828321,-0.04,3.46,6,6
14/01/2008,03:03:00,-54.390189,-36.253311,20,5.689266,0.2,3.66,7,7
14/01/2008,03:21:05,-54.386383,-36.245549,20,0.935694,-0.04,3.66,4,5
14/01/2008,03:36:32,-54.380467,-36.234134,20,13.909613,-0.27,3.39,6,6
14/01/2008,03:51:08,-54.373827,-36.222994,20,11.862631,0.97,4.36,6,6
14/01/2008,04:06:00,-54.369252,-36.20887,20,15.130053,-1.33,3.03,6,6
14/01/2008,04:21:03,-54.358421,-36.184368,20,7.275526,0.86,3.03,5,5
14/01/2008,05:27:01,-54.323451,-36.041598,20,0.378754,0.98,3.03,4,4
14/01/2008,07:03:02,-54.269999,-35.873781,20,6.219475,0.62,3.65,6,6
14/01/2008,07:18:10,-54.262976,-35.838319,20,11.897648,-0.07,3.65,5,5
14/01/2008,07:36:05,-54.251513,-35.817568,20,19.170852,-0.26,3.39,6,6
14/01/2008,08:18:47,-54.236474,-35.757934,20,15.684327,-0.04,3.35,6,6
14/01/2008,08:58:04,-54.230031,-35.745189,20,1.332421,0.4,3.35,4,4
14/01/2008,09:42:02,-54.224744,-35.7224,20,14.189398,0.44,3.79,6,6
14/01/2008,10:04:57,-54.224342,-35.720252,20,26.594409,-0.76,3.03,6,6
14/01/2008,10:25:03,-54.220736,-35.710694,20,14.035259,-0.25,2.78,8,8
14/01/2008,10:43:02,-54.216845,-35.706732,20,17.740219,-0.02,2.76,7,7
14/01/2008,11:04:06,-54.210832,-35.683793,20,19.599494,-0.02,2.74,6,6
14/01/2008,11:29:10,-54.205303,-35.646155,20,17.46598,1.06,3.8,6,6
14/01/2008,11:50:05,-54.215232,-35.609757,20,14.259965,-0.59,3.21,7,7
14/01/2008,12:33:36,-54.219931,-35.53751,20,11.675914,-0.15,3.21,5,5
14/01/2008,13:38:28,-54.227527,-35.527194,20,6.8683,0.33,3.54,6,6
14/01/2008,13:53:00,-54.227307,-35.52218,20,6.849406,-0.64,2.9,6,6
14/01/2008,14:14:03,-54.224841,-35.515706,20,4.944837,-0.24,2.9,5,5
14/01/2008,14:32:00,-54.222032,-35.511587,20,8.230213,0.71,3.61,6,7
