Date,Time,Latitude,Longitude,Altitude,Residual Error,Clock Error,Cumulative Clock Error,No Sats Used,No Sats Provided
15/01/2008,13:22:00,-54.391953,-36.254188,20,16.170955,-4.29,-4.29,6,6
15/01/2008,13:37:00,-54.392091,-36.254038,20,0.710239,-0.94,-4.29,4,4
15/01/2008,13:52:06,-54.390613,-36.252302,20,6.087995,0.47,-3.82,8,8
15/01/2008,14:09:04,-54.389159,-36.249349,20,8.808881,0.08,-3.74,7,7
15/01/2008,14:26:01,-54.389203,-36.252471,20,27.504793,-1.22,-4.96,7,7
15/01/2008,14:41:03,-54.392329,-36.253173,20,2.08792,0.3,-4.96,5,5
15/01/2008,14:58:04,-54.391534,-36.25442,20,24.237889,0.57,-4.39,8,8
15/01/2008,15:13:00,-54.39206,-36.253518,20,2.154762,-0.3,-4.39,5,5
15/01/2008,15:28:00,-54.39223,-36.253327,20,19.77735,-0.36,-4.75,8,8
15/01/2008,15:45:00,-54.392557,-36.252869,20,16.78035,0.17,-4.58,7,7
15/01/2008,16:02:00,-54.392256,-36.254271,20,23.778105,0.23,-4.35,6,6
15/01/2008,16:10:00,-54.392024,-36.253331,20,24.978429,-1.15,-5.5,8,8
15/01/2008,16:25:00,-54.392128,-36.253333,20,13.754816,1.21,-4.29,7,7
15/01/2008,16:40:01,-54.391182,-36.253359,20,29.520138,-0.69,-4.98,8,8
15/01/2008,16:55:00,-54.392066,-36.253307,20,25.673855,-0.31,-4.98,5,5
15/01/2008,17:10:00,-54.39189,-36.253086,20,24.822066,0.68,-4.3,6,6
15/01/2008,17:48:00,-54.392278,-36.253746,20,18.055321,-0.12,-4.42,8,8
15/01/2008,18:03:00,-54.39202,-36.253456,20,27.978693,-0.87,-5.29,8,8
15/01/2008,18:18:00,-54.391729,-36.253161,20,22.371672,1.21,-4.08,7,7
15/01/2008,18:33:00,-54.391976,-36.253358,20,7.040882,-0.96,-5.04,8,8
15/01/2008,18:50:00,-54.395614,-36.24707,20,3.222664,0.3,-5.04,4,4
15/01/2008,19:07:00,-54.392224,-36.254183,20,15.620845,0.04,-5,6,6
15/01/2008,19:22:00,-54.392208,-36.25335,20,7.186253,-0.05,-5,5,5
15/01/2008,19:39:00,-54.392151,-36.253587,20,17.307806,1.03,-5,5,5
15/01/2008,19:58:00,-54.389355,-36.255045,20,1.910782,0.06,-5,4,4
15/01/2008,20:13:00,-54.391554,-36.253053,20,21.015749,0.16,-4.84,6,6
15/01/2008,20:28:00,-54.391603,-36.253612,20,16.716077,0.04,-4.8,6,6
15/01/2008,20:43:00,-54.391505,-36.253519,20,6.67251,-0.15,-4.8,5,5
15/01/2008,21:02:00,-54.393261,-36.254175,20,0.270177,-0.07,-4.8,4,4
15/01/2008,21:17:00,-54.391589,-36.253829,20,1.501613,0.08,-4.8,4,4
15/01/2008,21:47:00,-54.390927,-36.254425,20,16.852673,0.03,-4.77,6,6
15/01/2008,22:02:00,-54.391601,-36.25408,20,14.114752,0.11,-4.66,7,7
15/01/2008,22:17:00,-54.391858,-36.25337,20,11.990137,-1.01,-5.67,8,8
15/01/2008,23:18:00,-54.391548,-36.253456,20,18.607265,0.64,-5.03,6,6
15/01/2008,23:33:00,-54.391242,-36.253134,20,13.16891,0.1,-4.93,7,7
15/01/2008,23:48:00,-54.391622,-36.253431,20,22.85191,0.06,-4.93,5,6
16/01/2008,00:26:00,-54.391731,-36.254158,20,19.577351,-0.16,-5.09,8,8
16/01/2008,00:41:00,-54.391625,-36.253443,20,10.524642,0.02,-5.07,8,8
16/01/2008,00:56:00,-54.39168,-36.254621,20,15.433883,-0.02,-5.09,8,8
16/01/2008,01:11:00,-54.391741,-36.253649,20,11.442511,0.17,-4.92,8,8
16/01/2008,01:26:04,-54.391678,-36.252717,20,18.998173,0.51,-4.41,8,8
16/01/2008,01:41:11,-54.390953,-36.252344,20,11.461995,-0.97,-5.38,8,8
16/01/2008,01:56:00,-54.391652,-36.254195,20,13.14719,0.55,-4.83,8,8
16/01/2008,02:11:00,-54.391625,-36.253813,20,14.471695,-1.08,-5.91,8,8
16/01/2008,02:26:00,-54.390948,-36.252308,20,0.673641,1.23,-5.91,4,4
16/01/2008,02:56:00,-54.392011,-36.252329,20,4.861533,0.16,-5.75,7,8
16/01/2008,03:11:00,-54.391674,-36.252566,20,23.532591,0.98,-4.77,7,7
16/01/2008,03:26:00,-54.392258,-36.253845,20,18.818211,-0.75,-5.52,8,8
16/01/2008,03:41:00,-54.392089,-36.253678,20,15.927922,-0.06,-5.58,7,7
16/01/2008,03:56:00,-54.392182,-36.253115,20,22.727276,0.2,-5.38,8,8
16/01/2008,04:11:00,-54.392233,-36.253408,20,13.133546,0.07,-5.31,7,7
16/01/2008,04:26:00,-54.39201,-36.253532,20,17.38967,0.04,-5.27,8,8
16/01/2008,04:41:00,-54.391634,-36.25298,20,17.703902,0.1,-5.17,8,8
16/01/2008,04:56:00,-54.391583,-36.253473,20,7.062717,0.08,-5.09,7,7
16/01/2008,05:11:00,-54.388989,-36.248051,20,14.169526,-0.95,-6.04,8,8
16/01/2008,05:28:03,-54.383904,-36.230214,20,10.392672,0.54,-5.5,7,8
16/01/2008,05:45:02,-54.377982,-36.208376,20,16.582915,0.45,-5.05,8,8
16/01/2008,06:00:00,-54.373746,-36.190978,20,7.501684,0.53,-4.52,6,6
16/01/2008,06:30:01,-54.358698,-36.1472,20,24.503067,-0.77,-5.29,7,7
16/01/2008,06:45:07,-54.353937,-36.126137,20,3.226102,-0.59,-5.29,5,5
16/01/2008,07:04:05,-54.345944,-36.092803,20,7.663428,-0.71,-6,6,6
16/01/2008,07:19:03,-54.340169,-36.067997,20,11.979895,0.17,-5.83,6,6
16/01/2008,07:38:03,-54.334672,-36.033302,20,10.366782,0.17,-5.66,7,7
16/01/2008,07:57:07,-54.328123,-35.999304,20,5.036546,0.05,-5.66,5,5
16/01/2008,08:16:01,-54.319988,-35.971609,20,10.784764,-0.1,-5.76,8,8
16/01/2008,08:31:15,-54.312696,-35.942757,20,3.937298,0.33,-5.43,6,6
16/01/2008,08:46:12,-54.305324,-35.917693,20,7.935371,0.16,-5.27,6,6
16/01/2008,09:05:18,-54.301351,-35.887721,20,0.37193,0.04,-5.27,4,4
16/01/2008,09:20:15,-54.296986,-35.876166,20,0.814879,-0.45,-5.27,5,5
16/01/2008,09:35:20,-54.293087,-35.862971,20,1.106926,-0.14,-5.27,4,4
16/01/2008,09:54:08,-54.287459,-35.848645,20,24.11283,-0.52,-5.79,8,8
16/01/2008,10:09:15,-54.282669,-35.827992,20,8.656712,-0.43,-6.22,8,8
16/01/2008,10:24:39,-54.277316,-35.801627,20,27.455233,0.54,-5.68,6,6
16/01/2008,10:47:36,-54.272159,-35.773109,20,12.223637,-0.28,-5.96,8,8
16/01/2008,11:04:09,-54.26833,-35.75195,20,26.900455,-0.01,-5.97,6,6
16/01/2008,11:25:03,-54.268195,-35.752528,20,3.199437,1.13,-5.97,5,5
16/01/2008,11:40:05,-54.26671,-35.745831,20,17.07097,0.5,-5.47,8,8
16/01/2008,12:03:08,-54.263052,-35.705525,20,15.627393,-0.16,-5.63,8,8
16/01/2008,12:18:04,-54.260586,-35.679079,20,0.271774,0.58,-5.63,4,4
16/01/2008,12:33:21,-54.257978,-35.650655,20,21.170006,0.93,-4.7,8,8
16/01/2008,12:48:01,-54.257657,-35.627338,20,25.090337,-0.96,-5.66,7,7
16/01/2008,13:06:08,-54.25493,-35.601831,20,8.506831,-0.14,-5.66,5,5
16/01/2008,13:21:00,-54.25135,-35.577854,20,17.7566,0.56,-5.1,8,8
16/01/2008,13:37:02,-54.248883,-35.556489,20,13.189196,-0.49,-5.59,8,8
16/01/2008,13:52:19,-54.24658,-35.530548,20,0.118407,0.12,-5.59,4,4
16/01/2008,14:07:03,-54.245558,-35.511934,20,10.35344,-0.01,-5.6,7,8
16/01/2008,14:25:12,-54.244275,-35.480685,20,20.768774,-0.11,-5.71,7,7
16/01/2008,14:48:26,-54.247841,-35.448386,20,13.667049,0.26,-5.45,7,7
