Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2013/02/24, 10:47:11, -54.008785, -38.049942, 126.36,  0.00, 42, -2, 0.00, 1
2013/02/24, 10:52:36, -54.008583, -38.050869, 108.76,  0.00, 178, 0, 64.61, 1
2013/02/24, 10:57:53, -54.008743, -38.051697, -1.85,  7020.00, 126, 0, 56.96, 1
2013/02/24, 11:03:09, -54.008503, -38.050755, 73.97,  2484.00, 298, 0, 67.09, 1
2013/02/24, 11:08:04, -54.008121, -38.051884, -12.85,  1476.00, 144, 0, 85.13, 1
2013/02/24, 11:12:50, -54.008148, -38.052006, -31.38,  3672.00, 329, 0, 8.52, 1
2013/02/24, 11:18:07, -54.008320, -38.052105, -54.84,  0.00, 202, 0, 20.19, 1
2013/02/24, 11:33:14, -54.008320, -38.052105, -54.84,  0.00, 202, 0, 0.00, 1
2013/02/24, 11:38:00, -54.008278, -38.051537, 14.42,  252.00, 335, 0, 37.41, 1
2013/02/24, 11:42:42, -54.008667, -38.051491, 20.21,  4500.00, 243, 0, 43.36, 1
2013/02/24, 11:47:22, -54.008778, -38.052151, 8.00,  0.00, 260, 0, 44.86, 1
2013/02/24, 11:52:00, -54.009018, -38.051788, 9.54,  5004.00, 64, 0, 35.70, 1
2013/02/24, 11:56:36, -54.008568, -38.049290, 24.21,  468.00, 87, 0, 170.73, 1
2013/02/24, 12:01:14, -54.008617, -38.049458, 17.25,  0.00, 61, 0, 12.26, 1
2013/02/24, 12:05:56, -54.008583, -38.049591, 30.78,  0.00, 43, 0, 9.48, 1
2013/02/24, 12:10:35, -54.008617, -38.049583, 23.99,  0.00, 359, 0, 3.82, 1
2013/02/24, 12:15:15, -54.008606, -38.049549, 26.98,  0.00, 97, 0, 2.54, 1
2013/02/24, 12:19:55, -54.008583, -38.049549, 31.23,  0.00, 46, 0, 2.56, 1
2013/02/24, 12:24:34, -54.008694, -38.049545, 18.08,  0.00, 11, 0, 12.35, 1
2013/02/24, 12:29:15, -54.008644, -38.049511, 38.11,  288.00, 174, 0, 5.99, 1
2013/02/24, 12:33:55, -54.008625, -38.049637, 25.78,  0.00, 239, 0, 8.50, 1
2013/02/24, 12:38:35, -54.008587, -38.049507, 42.16,  0.00, 238, 0, 9.49, 1
2013/02/24, 12:43:15, -54.008636, -38.049591, 35.34,  0.00, 12, 0, 7.73, 1
2013/02/24, 12:47:57, -54.008648, -38.049572, 30.13,  0.00, 244, 0, 1.82, 1
2013/02/24, 12:52:37, -54.008644, -38.049637, 30.78,  0.00, 60, 0, 4.27, 1
2013/02/24, 12:57:36, -54.008652, -38.049572, 52.71,  72.00, 30, 0, 4.34, 1
2013/02/24, 13:02:40, -54.008602, -38.049515, 34.11,  0.00, 243, 0, 6.69, 1
2013/02/24, 13:07:48, -54.008598, -38.049496, 25.09,  0.00, 122, 0, 1.32, 1
2013/02/24, 13:13:16, -54.008602, -38.049572, 43.41,  180.00, 222, 0, 4.99, 1
2013/02/24, 13:18:39, -54.008610, -38.049553, 43.50,  108.00, 235, 0, 1.53, 1
2013/02/24, 13:24:58, -54.008644, -38.049519, 71.83,  828.00, 25, 0, 4.39, 1
2013/02/24, 13:32:48, -54.008606, -38.049492, 23.69,  216.00, 147, 0, 4.58, 1
2013/02/24, 13:37:51, -54.008629, -38.049461, 40.79,  0.00, 97, 0, 3.26, 1
2013/02/24, 13:42:55, -54.008572, -38.049488, -17.57,  0.00, 7, 0, 6.58, 1
2013/02/24, 13:47:59, -54.008484, -38.049549, -63.83,  0.00, 163, 0, 10.57, 1
2013/02/24, 13:53:03, -54.008480, -38.049587, -43.98,  0.00, 133, 0, 2.52, 1
2013/02/24, 13:58:07, -54.008610, -38.049469, 28.16,  0.00, 116, 0, 16.38, 1
2013/02/24, 14:03:17, -54.008404, -38.049637, -37.83,  0.00, 126, 0, 25.40, 1
2013/02/24, 14:08:31, -54.008373, -38.049587, -22.33,  0.00, 97, 0, 4.75, 1
2013/02/24, 14:14:14, -54.008713, -38.049152, 39.35,  0.00, 139, 0, 47.30, 1
2013/02/24, 14:20:42, -54.005707, -38.052158, -206.52,  576.00, 129, 0, 387.70, 1
2013/02/24, 14:30:48, -54.007187, -38.050575, -206.88,  252.00, 353, 0, 194.38, 1
2013/02/24, 14:43:29, -54.008205, -38.049702, -207.05,  108.00, 23, 0, 126.76, 1
2013/02/24, 14:55:44, -54.008629, -38.049419, -207.23,  180.00, 12, 0, 50.64, 1
2013/02/24, 15:01:11, -54.008797, -38.049347, -207.41,  144.00, 8, 0, 19.26, 1
2013/02/24, 15:10:22, -54.009068, -38.049313, -207.92,  216.00, 4, 0, 30.22, 1
2013/02/24, 15:20:04, -54.008686, -38.049347, 27.43,  72.00, 44, 0, 42.53, 1
2013/02/24, 15:29:11, -54.008675, -38.049335, 27.08,  828.00, 35, 0, 1.45, 1
2013/02/24, 15:34:14, -54.008717, -38.049370, 28.04,  216.00, 123, 0, 5.20, 1
2013/02/24, 15:39:18, -54.008694, -38.049385, 21.74,  72.00, 112, 0, 2.74, 1
2013/02/24, 15:44:24, -54.006313, -38.049778, -106.71,  0.00, 162, 0, 266.00, 1
2013/02/24, 15:49:30, -54.008110, -38.049397, 4.62,  0.00, 164, 0, 201.36, 1
2013/02/24, 15:54:34, -54.008747, -38.049377, 34.04,  1656.00, 351, 0, 70.84, 1
2013/02/24, 15:59:39, -54.008656, -38.049374, 6.72,  0.00, 40, 0, 10.12, 1
2013/02/24, 16:04:49, -54.008667, -38.049328, 12.04,  576.00, 70, 0, 3.25, 1
2013/02/24, 16:09:54, -54.008648, -38.049297, 30.94,  0.00, 328, 0, 2.93, 1
2013/02/24, 16:14:57, -54.008644, -38.049313, 34.52,  216.00, 12, 0, 1.14, 1
2013/02/24, 16:19:59, -54.008793, -38.049442, 7.88,  1908.00, 224, 0, 18.59, 1
2013/02/24, 16:25:02, -54.008595, -38.049271, 44.33,  0.00, 76, 0, 24.69, 1
2013/02/24, 16:30:06, -54.008636, -38.049324, 38.60,  0.00, 171, 0, 5.73, 1
2013/02/24, 16:35:08, -54.008465, -38.049431, -7.70,  216.00, 132, 0, 20.26, 1
2013/02/24, 16:40:11, -54.008617, -38.049294, 37.91,  0.00, 129, 0, 19.13, 1
2013/02/24, 16:45:14, -54.007992, -38.049892, -176.72,  0.00, 96, 0, 79.73, 1
2013/02/24, 16:50:19, -54.008465, -38.049389, -0.96,  0.00, 75, 0, 62.02, 1
