Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2013/02/18, 15:29:34, -54.008568, -38.051693, 56.52,  1548.00, 34, -2, 0.00, 1
2013/02/18, 15:45:12, -54.008568, -38.051693, 56.52,  1548.00, 34, 0, 0.00, 1
2013/02/18, 15:50:14, -54.008545, -38.050919, -26.72,  6228.00, 218, 0, 50.64, 1
2013/02/18, 15:55:09, -54.010101, -38.052319, 64.27,  360.00, 262, 0, 195.72, 1
2013/02/18, 16:00:07, -54.008839, -38.050678, 10.77,  0.00, 53, 0, 176.61, 1
2013/02/18, 16:05:04, -54.008846, -38.048244, 44.56,  0.00, 178, 0, 159.05, 1
2013/02/18, 16:10:22, -54.008938, -38.048817, 25.72,  5400.00, 51, 0, 38.81, 1
2013/02/18, 16:15:36, -54.008961, -38.048843, 50.47,  2412.00, 109, 0, 3.07, 1
2013/02/18, 16:21:33, -54.009087, -38.048931, 16.24,  36.00, 143, 0, 15.14, 1
2013/02/18, 16:26:14, -54.008205, -38.046551, 55.20,  3384.00, 114, 0, 183.86, 1
2013/02/18, 16:30:56, -54.007408, -38.046371, 58.74,  0.00, 216, 0, 89.40, 1
2013/02/18, 16:35:36, -54.007584, -38.049389, 34.01,  3672.00, 204, 0, 198.19, 1
2013/02/18, 16:40:20, -54.007935, -38.050098, 19.98,  0.00, 15, 0, 60.58, 1
2013/02/18, 16:45:02, -54.008045, -38.049957, 27.59,  0.00, 101, 0, 15.31, 1
2013/02/18, 16:49:47, -54.007988, -38.049976, 0.92,  0.00, 314, 0, 6.46, 1
2013/02/18, 16:54:33, -54.007504, -38.050358, -140.22,  0.00, 150, 0, 59.33, 1
2013/02/18, 16:59:24, -54.007427, -38.050415, -134.38,  108.00, 29, 0, 9.34, 1
2013/02/18, 17:04:35, -54.007793, -38.050354, -44.59,  324.00, 357, 0, 40.89, 1
2013/02/18, 17:09:43, -54.007862, -38.050087, -22.66,  0.00, 41, 0, 19.06, 1
2013/02/18, 17:14:52, -54.008072, -38.049892, 26.19,  0.00, 166, 0, 26.60, 1
2013/02/18, 17:20:00, -54.008053, -38.050091, 4.16,  0.00, 110, 0, 13.17, 1
2013/02/18, 17:25:08, -54.007946, -38.049973, 8.33,  0.00, 101, 0, 14.18, 1
2013/02/18, 17:30:16, -54.007984, -38.049892, 24.52,  0.00, 39, 0, 6.77, 1
2013/02/18, 17:35:24, -54.007961, -38.049934, 15.03,  0.00, 95, 0, 3.75, 1
2013/02/18, 17:40:33, -54.008015, -38.049953, 19.74,  0.00, 76, 0, 6.13, 1
2013/02/18, 17:45:43, -54.008091, -38.050037, 23.19,  0.00, 358, 0, 10.08, 1
2013/02/18, 17:50:53, -54.008053, -38.050014, 17.89,  0.00, 104, 0, 4.48, 1
2013/02/18, 17:56:03, -54.008049, -38.049965, 23.21,  0.00, 65, 0, 3.23, 1
2013/02/18, 18:01:34, -54.008030, -38.049953, 20.73,  72.00, 133, 0, 2.25, 1
2013/02/18, 18:06:20, -54.008011, -38.049942, 21.05,  72.00, 27, 0, 2.23, 1
2013/02/18, 18:11:07, -54.008045, -38.049950, 20.11,  288.00, 315, 0, 3.82, 1
2013/02/18, 18:15:54, -54.008022, -38.049931, 18.10,  288.00, 84, 0, 2.84, 1
2013/02/18, 18:20:41, -54.008015, -38.049973, 21.51,  252.00, 182, 0, 2.85, 1
2013/02/18, 18:25:27, -54.008018, -38.049931, 19.26,  648.00, 2, 0, 2.76, 1
2013/02/18, 18:30:15, -54.008038, -38.049965, 19.69,  0.00, 265, 0, 3.14, 1
2013/02/18, 18:35:02, -54.008022, -38.049950, 14.49,  324.00, 85, 0, 2.03, 1
2013/02/18, 18:39:48, -54.008030, -38.049938, 12.62,  324.00, 106, 0, 1.19, 1
2013/02/18, 18:44:37, -54.008083, -38.050014, 17.79,  432.00, 315, 0, 7.71, 1
2013/02/18, 18:49:25, -54.008209, -38.050117, 40.96,  108.00, 175, 0, 15.54, 1
2013/02/18, 18:54:09, -54.008018, -38.049969, 15.42,  252.00, 152, 0, 23.34, 1
2013/02/18, 18:58:55, -54.008068, -38.049984, 19.00,  72.00, 358, 0, 5.65, 1
2013/02/18, 19:03:51, -54.008038, -38.050011, 16.28,  216.00, 315, 0, 3.77, 1
2013/02/18, 19:08:45, -54.008045, -38.049980, 18.39,  0.00, 344, 0, 2.17, 1
2013/02/18, 19:13:39, -54.008038, -38.049973, 18.24,  36.00, 347, 0, 0.90, 1
2013/02/18, 19:18:33, -54.008045, -38.049969, 16.07,  1548.00, 6, 0, 0.82, 1
2013/02/18, 19:23:27, -54.008034, -38.049953, 17.39,  72.00, 141, 0, 1.61, 1
2013/02/18, 19:28:20, -54.008053, -38.049980, 24.36,  108.00, 254, 0, 2.75, 1
2013/02/18, 19:33:12, -54.008045, -38.050003, 18.86,  72.00, 105, 0, 1.75, 1
2013/02/18, 19:38:05, -54.008034, -38.049988, 17.97,  0.00, 68, 0, 1.57, 1
2013/02/18, 19:42:57, -54.008015, -38.049988, 15.09,  0.00, 205, 0, 2.11, 1
2013/02/18, 19:48:22, -54.007996, -38.049938, 14.45,  108.00, 122, 0, 3.89, 1
2013/02/18, 19:53:12, -54.008015, -38.049923, 14.35,  72.00, 150, 0, 2.33, 1
2013/02/18, 19:58:02, -54.008011, -38.049938, 16.83,  612.00, 31, 0, 1.08, 1
2013/02/18, 20:02:53, -54.007999, -38.049919, 5.66,  0.00, 110, 0, 1.82, 1
2013/02/18, 20:07:38, -54.007755, -38.049900, -50.61,  0.00, 92, 0, 27.16, 1
2013/02/18, 20:12:22, -54.007130, -38.049824, -190.72,  0.00, 84, 0, 69.67, 1
2013/02/18, 20:17:06, -54.007221, -38.049858, -188.76,  0.00, 107, 0, 10.36, 1
2013/02/18, 20:21:49, -54.007835, -38.049938, -38.35,  0.00, 25, 0, 68.47, 1
2013/02/18, 20:26:32, -54.008034, -38.050003, 18.37,  0.00, 48, 0, 22.53, 1
2013/02/18, 20:31:13, -54.008255, -38.050041, 79.25,  108.00, 106, 0, 24.70, 1
2013/02/18, 20:35:53, -54.008121, -38.050102, 31.43,  864.00, 184, 0, 15.42, 1
2013/02/18, 20:40:33, -54.008091, -38.049988, 23.84,  1008.00, 359, 0, 8.16, 1
2013/02/18, 20:45:16, -54.008041, -38.049992, 20.69,  180.00, 15, 0, 5.57, 1
2013/02/18, 20:49:55, -54.008060, -38.050022, 20.13,  108.00, 0, 0, 2.88, 1
2013/02/18, 20:54:34, -54.008057, -38.050007, 6.46,  252.00, 193, 0, 1.04, 1
2013/02/18, 20:59:13, -54.008007, -38.049961, 7.04,  108.00, 6, 0, 6.32, 1
2013/02/18, 21:03:39, -54.007992, -38.050022, 13.31,  108.00, 128, 0, 4.32, 1
2013/02/18, 21:07:53, -54.008053, -38.049923, 17.82,  252.00, 320, 0, 9.37, 1
2013/02/18, 21:12:07, -54.008064, -38.049973, 23.84,  144.00, 351, 0, 3.49, 1
2013/02/18, 21:16:21, -54.008049, -38.049889, 20.50,  504.00, 353, 0, 5.74, 1
2013/02/18, 21:20:35, -54.008041, -38.049938, 19.05,  72.00, 130, 0, 3.32, 1
2013/02/18, 21:24:49, -54.007988, -38.049976, 16.04,  36.00, 1, 0, 6.40, 1
2013/02/18, 21:29:03, -54.008076, -38.049995, 16.12,  0.00, 277, 0, 9.86, 1
2013/02/18, 21:33:17, -54.008007, -38.049904, 21.72,  108.00, 248, 0, 9.71, 1
2013/02/18, 21:37:31, -54.008095, -38.049889, 9.87,  0.00, 162, 0, 9.83, 1
2013/02/18, 21:41:45, -54.008236, -38.049721, -3.51,  0.00, 353, 0, 19.14, 1
2013/02/18, 21:45:59, -54.008160, -38.049828, 5.29,  0.00, 45, 0, 10.97, 1
2013/02/18, 21:50:13, -54.008289, -38.049736, -17.05,  0.00, 190, 0, 15.55, 1
2013/02/18, 21:54:27, -54.008270, -38.049797, -8.83,  0.00, 179, 0, 4.51, 1
2013/02/18, 21:58:45, -54.007748, -38.050217, 51.66,  0.00, 175, 0, 64.21, 1
2013/02/18, 22:04:04, -54.008018, -38.049973, 22.93,  180.00, 136, 0, 33.99, 1
2013/02/18, 22:09:02, -54.007950, -38.050083, 19.25,  5148.00, 91, 0, 10.43, 1
2013/02/18, 22:14:00, -54.007992, -38.050617, 58.19,  1908.00, 321, 0, 35.21, 1
