Date,Time,Latitude,Longitude,Logger ID,Deployment,Altitude,R-Err,C-Err,Total C-Err,Sats Used,# Sats,Duplicates,Notes
02/03/2013,16:11:00,-54.007535,-38.047783,SFL00000419,W8970_01_060313,0,10.763756,8.46,1.56,6,6,0,
02/03/2013,16:16:00,-54.007816,-38.04761,SFL00000419,W8970_01_060313,0,11.588692,-0.03,1.53,7,7,0,
02/03/2013,16:21:00,-54.007755,-38.047749,SFL00000419,W8970_01_060313,0,6.510156,-0.01,1.52,8,8,0,
02/03/2013,16:26:00,-54.007766,-38.047734,SFL00000419,W8970_01_060313,0,10.228139,-0.01,1.51,8,8,0,
02/03/2013,16:31:00,-54.007834,-38.047907,SFL00000419,W8970_01_060313,0,2.361833,-0.02,1.51,5,5,0,
02/03/2013,16:36:00,-54.007957,-38.04741,SFL00000419,W8970_01_060313,0,5.575776,-0.01,1.51,5,5,0,
02/03/2013,16:41:00,-54.007861,-38.047685,SFL00000419,W8970_01_060313,0,10.189842,-0.04,1.47,8,8,0,
02/03/2013,16:46:00,-54.007848,-38.047466,SFL00000419,W8970_01_060313,0,12.570663,0.02,1.49,8,8,0,
02/03/2013,16:51:00,-54.007912,-38.047625,SFL00000419,W8970_01_060313,0,8.003921,0,1.49,7,8,0,
02/03/2013,16:56:00,-54.007828,-38.047872,SFL00000419,W8970_01_060313,0,6.287972,-0.03,1.46,7,8,0,
02/03/2013,17:11:00,-54.007796,-38.047668,SFL00000419,W8970_01_060313,0,8.20296,0.01,1.47,7,8,0,
02/03/2013,17:26:00,-54.007927,-38.04749,SFL00000419,W8970_01_060313,0,9.397516,-0.05,1.42,7,8,0,
02/03/2013,17:41:00,-54.007958,-38.047461,SFL00000419,W8970_01_060313,0,8.512291,0.02,1.44,7,8,0,
02/03/2013,17:56:00,-54.00791,-38.047531,SFL00000419,W8970_01_060313,0,5.984736,-0.05,1.39,7,8,0,
02/03/2013,18:11:00,-54.00785,-38.047637,SFL00000419,W8970_01_060313,0,11.88226,-0.03,1.36,7,8,0,
02/03/2013,18:26:00,-54.007863,-38.047336,SFL00000419,W8970_01_060313,0,4.140857,-0.05,1.31,7,8,0,
02/03/2013,18:41:00,-54.007799,-38.047144,SFL00000419,W8970_01_060313,0,17.6604,-0.01,1.3,7,8,0,
02/03/2013,18:57:00,-54.007719,-38.046843,SFL00000419,W8970_01_060313,0,3.901593,0.02,1.3,5,6,0,
02/03/2013,19:12:00,-54.007994,-38.048015,SFL00000419,W8970_01_060313,0,4.444886,-0.11,1.3,5,6,0,
02/03/2013,19:28:00,-54.008391,-38.049925,SFL00000419,W8970_01_060313,0,2.6942,-0.09,1.3,5,6,0,
