Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2013/02/21, 10:47:50, -54.008289, -38.050713, 28.97,  0.00, 181, -2, 0.00, 1
2013/02/21, 10:52:56, -54.008289, -38.050713, 28.97,  0.00, 181, 0, 0.00, 1
2013/02/21, 10:57:56, -54.008377, -38.050812, 24.23,  0.00, 94, 0, 11.73, 1
2013/02/21, 11:03:02, -54.009670, -38.051605, 16.24,  0.00, 349, 0, 152.83, 1
2013/02/21, 11:08:00, -54.009850, -38.052132, 31.10,  0.00, 209, 0, 39.83, 1
2013/02/21, 11:12:55, -54.009018, -38.051327, 6.48,  0.00, 81, 0, 106.42, 1
2013/02/21, 11:28:02, -54.009018, -38.051327, 6.48,  0.00, 81, 0, 0.00, 1
2013/02/21, 11:33:03, -54.008408, -38.050560, 24.91,  0.00, 117, 0, 84.34, 1
2013/02/21, 11:37:57, -54.008602, -38.050385, 40.77,  0.00, 143, 0, 24.42, 1
2013/02/21, 11:42:58, -54.008335, -38.050293, 52.17,  3204.00, 115, 0, 30.29, 1
2013/02/21, 11:48:06, -54.008488, -38.050640, 18.65,  72.00, 96, 0, 28.35, 1
2013/02/21, 11:52:51, -54.008354, -38.050671, 20.00,  216.00, 267, 0, 15.04, 1
2013/02/21, 11:57:36, -54.008434, -38.050705, 9.24,  180.00, 322, 0, 9.17, 1
2013/02/21, 12:02:34, -54.008453, -38.050705, 16.46,  72.00, 105, 0, 2.11, 1
2013/02/21, 12:07:35, -54.008465, -38.050537, 14.45,  648.00, 112, 0, 11.06, 1
2013/02/21, 12:12:34, -54.008377, -38.050522, 15.92,  180.00, 172, 0, 9.83, 1
2013/02/21, 12:17:33, -54.008450, -38.050491, 18.88,  0.00, 0, 0, 8.37, 1
2013/02/21, 12:22:29, -54.008366, -38.050438, 21.49,  36.00, 243, 0, 9.96, 1
2013/02/21, 12:27:23, -54.008308, -38.050385, 22.67,  252.00, 163, 0, 7.32, 1
2013/02/21, 12:32:16, -54.008266, -38.050156, 0.16,  972.00, 98, 0, 15.68, 1
2013/02/21, 12:37:12, -54.008308, -38.050129, 18.71,  288.00, 89, 0, 4.99, 1
2013/02/21, 12:42:11, -54.008274, -38.050076, 30.68,  432.00, 160, 0, 5.13, 1
