Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2013/01/18, 12:41:25, -54.008423, -38.050964, 17.38,  0.00, 12, -2, 0.00, 1
2013/01/18, 12:57:00, -54.008385, -38.050972, 13.14,  0.00, 0, -4, 4.26, 1
