Date,Time,Latitude,Longitude,Altitude,Residual Error,Clock Error,Cumulative Clock Error,# Sats Used,# Sats Provided,
17/02/2007,05:39:00:288,-54.10467,-38.309744,20,2.153727,0.44,-0.03,5,5,(rownum 122)
17/02/2007,05:54:00:576,-54.100838,-38.314363,20,2.682215,0.06,-0.03,5,5,(rownum 123)
17/02/2007,06:09:04:320,-54.098803,-38.315308,20,17.662284,1.12,1.09,8,8,(rownum 124)
17/02/2007,06:37:28:992,-54.098273,-38.315105,20,6.11949,-1.31,-0.22,8,8,(rownum 125)
17/02/2007,06:52:01:632,-54.096952,-38.315404,20,18.906939,0.73,0.51,8,8,(rownum 126)
17/02/2007,07:08:17:952,-54.094626,-38.317838,20,19.282783,-0.72,-0.21,8,8,(rownum 128)
17/02/2007,07:44:04:992,-54.094921,-38.316708,20,20.315259,-0.29,-0.5,7,7,(rownum 129)
17/02/2007,08:02:15:360,-54.094248,-38.321701,20,21.9974,1.17,0.67,6,6,(rownum 133)
17/02/2007,08:17:13:56,-54.095528,-38.327026,20,12.522799,-0.22,0.45,7,7,(rownum 134)
17/02/2007,08:32:00:384,-54.096912,-38.327491,20,20.47973,0.28,0.73,8,8,(rownum 135)
17/02/2007,08:47:12:768,-54.097852,-38.330928,20,4.033148,-0.16,0.73,5,5,(rownum 136)
17/02/2007,09:12:43:776,-54.09784,-38.330214,20,10.66164,-0.79,-0.06,8,8,(rownum 137)
17/02/2007,09:44:01:248,-54.099149,-38.327658,20,19.640698,0.57,0.51,8,8,(rownum 141)
17/02/2007,10:02:02:976,-54.101292,-38.328711,20,19.646077,-0.66,-0.15,8,8,(rownum 145)
17/02/2007,10:17:03:264,-54.106541,-38.332107,20,15.137786,0.42,0.27,8,8,(rownum 146)
17/02/2007,11:03:48:672,-54.114005,-38.344156,20,13.41887,-0.13,0.14,8,8,(rownum 150)
17/02/2007,11:19:28:704,-54.113762,-38.344355,20,6.15704,0.04,0.14,4,4,(rownum 152)
17/02/2007,11:34:03:936,-54.116545,-38.343344,20,9.664405,-0.61,-0.47,8,8,(rownum 153)
17/02/2007,12:40:52:896,-54.117604,-38.334922,20,26.748972,0.36,-0.11,8,8,(rownum 155)
17/02/2007,13:29:03:840,-54.121893,-38.337306,20,23.197114,0.02,-0.09,8,8,(rownum 162)
