Date,Time,Latitude,Longitude,Altitude,Residual Error,Clock Error,Cumulative Clock Error,# Sats Used,# Sats Provided,
04/02/2007,19:20:00:384,-54.007743,-38.050737,20,12.832679,-3.88,1,5,5,(rownum 0)
04/02/2007,19:52:59:808,-54.007942,-38.050654,20,1.169171,-4.6,1,4,4,(rownum 5)
04/02/2007,20:08:59:712,-54.008985,-38.051526,20,0.140611,-4.92,1,4,4,(rownum 7)
04/02/2007,20:44:00:96,-54.008374,-38.051219,20,1.036235,-4.3,1,4,4,(rownum 14)
04/02/2007,21:20:00:96,-54.00895,-38.05109,20,0.335992,-3.98,1,4,4,(rownum 22)
04/02/2007,21:53:00:384,-54.010752,-38.053552,20,1.068225,-4.11,1,4,4,(rownum 27)
04/02/2007,22:09:00:288,-54.008438,-38.051333,20,14.075557,-4.66,1,5,5,(rownum 29)
04/02/2007,22:23:59:712,-54.008425,-38.051064,20,21.533243,-4.66,1,5,5,(rownum 30)
04/02/2007,22:39:00:0,-54.005736,-38.048711,20,0.397302,-3.8,1,4,4,(rownum 31)
04/02/2007,22:54:00:288,-54.008368,-38.051049,20,9.08801,-4.46,-3.46,7,7,(rownum 32)
04/02/2007,23:08:59:712,-54.008587,-38.052025,20,1.431594,-0.05,-3.46,4,4,(rownum 33)
04/02/2007,23:24:00:0,-54.008164,-38.051943,20,8.949906,0.15,-3.31,6,6,(rownum 34)
04/02/2007,23:39:00:288,-54.00793,-38.050247,20,6.46655,0.08,-3.23,6,6,(rownum 35)
04/02/2007,23:53:59:712,-54.006594,-38.049758,20,0.525192,-1.15,-3.23,4,4,(rownum 36)
05/02/2007,01:03:00:0,-54.00876,-38.053483,20,21.4638,0.36,-3.23,5,5,(rownum 49)
05/02/2007,01:18:00:288,-54.008152,-38.051674,20,2.915402,-0.43,-3.66,7,7,(rownum 50)
05/02/2007,01:32:59:712,-54.008249,-38.051433,20,10.20499,-0.05,-3.71,8,8,(rownum 51)
05/02/2007,02:42:00:0,-54.007914,-38.050869,20,7.975749,0.64,-3.07,6,6,(rownum 64)
05/02/2007,02:57:00:288,-54.007882,-38.050718,20,20.239204,-0.88,-3.07,5,5,(rownum 65)
05/02/2007,03:11:59:712,-54.008034,-38.051783,20,3.921956,-1.02,-4.09,6,6,(rownum 66)
05/02/2007,03:27:00:0,-54.008519,-38.052453,20,20.268582,1.04,-3.05,7,7,(rownum 67)
05/02/2007,03:42:00:288,-54.00811,-38.051347,20,7.094237,-0.87,-3.92,8,8,(rownum 68)
05/02/2007,03:56:59:712,-54.008316,-38.050962,20,12.485965,0.04,-3.88,6,6,(rownum 69)
05/02/2007,04:12:00:0,-54.00852,-38.051448,20,10.910328,0.06,-3.82,8,8,(rownum 70)
05/02/2007,04:27:00:288,-54.008476,-38.051666,20,26.166184,0.19,-3.63,8,8,(rownum 71)
05/02/2007,04:41:59:712,-54.009339,-38.051986,20,0.415078,-0.86,-3.63,4,4,(rownum 72)
05/02/2007,05:12:00:288,-54.008166,-38.051156,20,13.91545,0.4,-3.63,5,5,(rownum 74)
05/02/2007,05:26:59:712,-54.006848,-38.054734,20,14.742325,-0.96,-3.63,5,5,(rownum 75)
05/02/2007,05:42:00:0,-54.00739,-38.065878,20,0.081967,-0.7,-3.63,4,4,(rownum 76)
05/02/2007,05:57:59:904,-54.008346,-38.051755,20,5.511002,-1.05,-3.63,5,5,(rownum 78)
05/02/2007,06:13:00:192,-54.008973,-38.051331,20,4.936776,0.08,-3.63,5,5,(rownum 79)
05/02/2007,06:27:59:616,-54.008021,-38.051844,20,22.573746,-0.02,-3.65,7,8,(rownum 80)
05/02/2007,06:42:59:904,-54.008392,-38.050904,20,14.677108,-0.83,-4.48,6,6,(rownum 81)
05/02/2007,06:58:00:192,-54.00797,-38.050556,20,3.581576,1.1,-4.48,5,5,(rownum 82)
05/02/2007,07:12:59:616,-54.00792,-38.050421,20,14.411484,0.02,-4.48,5,5,(rownum 83)
05/02/2007,07:27:59:904,-54.008016,-38.051413,20,2.124116,0.04,-4.48,5,5,(rownum 84)
05/02/2007,07:45:00:288,-54.008293,-38.051895,20,1.737765,0.31,-4.48,4,4,(rownum 87)
05/02/2007,07:59:59:712,-54.007523,-38.04701,20,0.289478,0.58,-4.48,4,4,(rownum 88)
05/02/2007,08:33:00:0,-54.00731,-38.050274,20,2.504937,1.12,-4.48,4,4,(rownum 93)
05/02/2007,08:50:00:384,-54.008452,-38.052048,20,0.208207,0.49,-4.48,4,4,(rownum 96)
05/02/2007,09:04:59:808,-54.008042,-38.052142,20,8.0744,0.36,-4.48,5,5,(rownum 97)
05/02/2007,09:20:00:96,-54.002691,-38.054192,20,0.971538,-0.15,-4.48,4,4,(rownum 98)
