Date,Time,Latitute,Longitude,Temperature,Nav State,Altitude,N Velocity,E Velocity,D Velocity,PDOP,SV Count
25/03/2006,09:57:17,-54.008,-38.05,25.75,3,29,0,0,0,1000,0
25/03/2006,09:57:47,-54.008,-38.05,25.25,3,29,0,0,0,1000,0
25/03/2006,09:58:17,-54.008,-38.05,24.75,3,29,0,0,0,1000,0
25/03/2006,09:58:47,-54.008,-38.05,24.75,3,29,0,0,0,1000,0
25/03/2006,09:59:17,-54.008,-38.05,25,3,29,0,0,0,1000,0
25/03/2006,09:59:47,-54.008,-38.05,25,3,29,0,0,0,1000,0
25/03/2006,10:00:17,-54.008,-38.05,25,3,29,0,0,0,1000,0
25/03/2006,10:00:47,-54.008,-38.05,24.75,3,29,0,0,0,1000,0
25/03/2006,10:01:19,-54.008,-38.05,24.75,3,29,0,0,0,1000,0
25/03/2006,10:01:49,-54.008,-38.05,24.75,3,29,0,0,0,1000,0
25/03/2006,10:02:21,-54.008,-38.05,24.75,3,29,0,0,0,1000,0
25/03/2006,10:02:51,-54.008,-38.05,24.75,3,29,0,0,0,1000,0
25/03/2006,10:03:40,-54.008,-38.05,24.75,3,29,0,0,0,1000,0
25/03/2006,10:04:13,-54.008,-38.05,24.75,3,29,0,0,0,1000,0
25/03/2006,10:07:14,-54.008,-38.05,25.75,3,29,0,0,0,1000,0
25/03/2006,10:34:59,-54.008,-38.05,25.75,3,29,0,0,0,1000,0
25/03/2006,10:40:28,-54.008,-38.05,25.75,3,29,0,0,0,1000,0
25/03/2006,10:42:58,-54.008,-38.05,25.25,3,29,0,0,0,1000,0
25/03/2006,10:43:28,-54.008,-38.05,25.5,3,29,0,0,0,1000,0
25/03/2006,10:43:59,-54.008,-38.05,25.25,3,29,0,0,0,1000,0
25/03/2006,10:44:29,-54.008,-38.05,25.25,3,29,0,0,0,1000,0
25/03/2006,10:44:59,-54.008,-38.05,25.5,3,29,0,0,0,1000,2
25/03/2006,10:45:29,-54.008,-38.05,25.25,3,29,0,0,0,1000,0
25/03/2006,10:45:59,-54.008,-38.05,25,3,29,0,0,0,1000,0
25/03/2006,10:46:29,-54.008,-38.05,24.25,3,29,0,0,0,1000,0
25/03/2006,10:46:59,-54.008,-38.05,23.5,3,29,0,0,0,1000,0
25/03/2006,10:47:29,-54.008,-38.05,23.25,3,29,0,0,0,1000,0
25/03/2006,10:47:59,-54.008,-38.05,22.75,3,29,0,0,0,1000,0
25/03/2006,10:48:29,-54.008,-38.05,22.5,3,29,0,0,0,1000,0
25/03/2006,10:48:59,-54.008,-38.05,22.25,3,29,0,0,0,1000,0
25/03/2006,10:49:29,-54.008,-38.05,21.75,3,29,0,0,0,1000,0
25/03/2006,10:49:59,-54.008,-38.05,21.25,3,29,0,0,0,1000,0
25/03/2006,10:50:29,-54.008,-38.05,20.75,3,29,0,0,0,1000,0
25/03/2006,10:50:59,-54.008,-38.05,20.5,3,29,0,0,0,1000,0
25/03/2006,10:51:29,-54.008,-38.05,20.25,3,29,0,0,0,1000,0
25/03/2006,10:51:59,-54.008,-38.05,20.25,3,29,0,0,0,1000,0
25/03/2006,10:52:29,-54.008,-38.05,19.25,3,29,0,0,0,1000,0
25/03/2006,10:52:59,-54.008,-38.05,19,3,29,0,0,0,1000,0
25/03/2006,10:53:29,-54.008,-38.05,19,3,29,0,0,0,1000,0
25/03/2006,10:53:59,-54.008,-38.05,18.75,3,29,0,0,0,1000,0
25/03/2006,10:54:29,-54.008,-38.05,18.5,3,29,0,0,0,1000,0
25/03/2006,10:54:59,-54.008,-38.05,18,3,29,0,0,0,1000,0
25/03/2006,10:55:29,-54.008,-38.05,17.75,3,29,0,0,0,1000,0
25/03/2006,10:55:59,-54.008,-38.05,17.75,3,29,0,0,0,1000,0
25/03/2006,10:56:29,-54.008,-38.05,17.25,3,29,0,0,0,1000,0
25/03/2006,10:56:59,-54.008,-38.05,17.25,3,29,0,0,0,1000,0
25/03/2006,10:57:29,-54.008,-38.05,17,3,29,0,0,0,1000,0
25/03/2006,10:57:59,-54.008,-38.05,16.75,3,29,0,0,0,1000,0
25/03/2006,10:58:29,-54.008,-38.05,16.5,3,29,0,0,0,1000,0
