Date,Time,Latitute,Longitude,Temperature,Nav State,Altitude,N Velocity,E Velocity,D Velocity,PDOP,SV Count
21/02/2006,12:38:59,-54.00836366,-38.05097401,23.25,0,50,0,0,0,2,7
21/02/2006,12:39:29,-54.00830715,-38.05099769,23.25,0,28,0,0,0,2,7
21/02/2006,12:39:59,-54.00829762,-38.05097623,22.75,0,33,0,0,0,2,7
21/02/2006,12:40:29,-54.00832502,-38.05098369,24.25,0,29,0,0,0,1,8
21/02/2006,12:40:59,-54.00832502,-38.05098369,23.25,3,29,0,0,0,1000,0
21/02/2006,12:41:29,-54.00832502,-38.05098369,23.75,3,29,0,0,0,1000,0
21/02/2006,12:41:59,-54.00832502,-38.05098369,23.25,3,29,0,0,0,1000,0
21/02/2006,12:42:29,-54.00832502,-38.05098369,23.25,3,29,0,0,0,1000,0
21/02/2006,12:42:59,-54.00832502,-38.05098369,23,3,29,0,0,0,1000,0
21/02/2006,12:43:29,-54.00832502,-38.05098369,22.75,3,29,0,0,0,1000,0
21/02/2006,12:43:59,-54.00854701,-38.05097195,22.75,0,142,0,0,0,4,6
21/02/2006,12:44:29,-54.00869876,-38.05142087,22.75,0,205,0,0,0,3,6
21/02/2006,12:44:59,-54.00850592,-38.05068796,22.75,0,78,0,0,0,4,6
21/02/2006,12:45:29,-54.00850592,-38.05068796,22.5,3,78,0,0,0,1000,0
21/02/2006,12:45:59,-54.00850592,-38.05068796,22.5,3,78,0,0,0,1000,0
21/02/2006,12:46:29,-54.00850592,-38.05068796,22.25,3,78,0,0,0,1000,0
21/02/2006,12:46:59,-54.00850592,-38.05068796,22.25,3,78,0,0,0,1000,0
21/02/2006,12:47:29,-54.00850592,-38.05068796,22,3,78,0,0,0,1000,0
21/02/2006,12:47:59,-54.00850592,-38.05068796,22.25,3,78,0,0,0,1000,0
21/02/2006,12:48:29,-54.00828527,-38.05175091,22.25,0,204,0,0,0,2,7
21/02/2006,12:48:59,-54.00833039,-38.05126069,22,0,71,0,0,0,2,7
21/02/2006,12:49:29,-54.00818341,-38.05202166,22.25,0,99,0,0,0,4,6
21/02/2006,12:49:59,-54.0078291,-38.05196883,22,0,94,0,0,0,3,6
21/02/2006,12:50:29,-54.00816868,-38.05057117,22,0,153,0,0,0,2,7
21/02/2006,12:50:59,-54.00867884,-38.05117229,21.75,3,152,0,0,0,45,4
21/02/2006,12:51:29,-54.00842079,-38.05220743,21.75,0,144,0,0,0,2,7
21/02/2006,12:51:59,-54.00865562,-38.05118608,21.75,0,74,0,0,0,5,5
21/02/2006,12:52:29,-54.00910243,-38.05105433,21.75,0,190,0,0,0,3,6
21/02/2006,12:52:59,-54.00851915,-38.05146002,21.75,0,62,0,0,0,2,7
21/02/2006,12:53:29,-54.00862036,-38.05174648,21.5,1,62,0,0,0,8,5
21/02/2006,12:53:59,-54.00835749,-38.05182106,21.75,3,61,0,0,0,281,4
21/02/2006,12:54:29,-54.00739992,-38.05154407,21.75,1,62,0,0,0,12,5
21/02/2006,12:54:59,-54.00888554,-38.05102406,21.75,0,102,0,0,0,3,6
21/02/2006,12:55:29,-54.00845443,-38.05144097,21.75,0,126,0,0,0,3,6
