Date,Time,Latitute,Longitude,Temperature,Nav State,Altitude,N Velocity,E Velocity,D Velocity,PDOP,SV Count
24/01/2006,20:37:23,-54.008,-38.051,24.25,3,39,0,0,0,1000,0
24/01/2006,20:37:53,-54.008,-38.051,24,3,39,0,0,0,1000,0
24/01/2006,20:38:23,-54.008,-38.051,23.5,3,39,0,0,0,1000,0
24/01/2006,20:38:53,-54.008,-38.051,23.5,3,39,0,0,0,1000,0
24/01/2006,20:39:23,-54.008,-38.051,23.75,3,39,0,0,0,1000,0
24/01/2006,20:39:53,-54.008,-38.051,23.75,3,39,0,0,0,1000,0
24/01/2006,20:40:23,-54.008,-38.051,23.75,3,39,0,0,0,1000,0
24/01/2006,20:40:53,-54.008,-38.051,23.75,3,39,0,0,0,1000,0
24/01/2006,20:41:23,-54.008,-38.051,24.25,3,39,0,0,0,1000,0
24/01/2006,20:41:53,-54.008,-38.051,24.25,3,39,0,0,0,1000,0
24/01/2006,20:42:23,-54.008,-38.051,24.25,3,39,0,0,0,1000,0
24/01/2006,20:42:53,-54.008,-38.051,24.25,3,39,0,0,0,1000,0
24/01/2006,20:43:23,-54.008,-38.051,24.25,3,39,0,0,0,1000,0
24/01/2006,20:43:53,-54.008,-38.051,24.5,3,39,0,0,0,1000,0
24/01/2006,20:44:23,-54.008,-38.051,24.25,3,39,0,0,0,1000,0
24/01/2006,20:44:53,-54.008,-38.051,24.5,3,39,0,0,0,1000,0
24/01/2006,20:45:23,-54.008,-38.051,24.25,3,39,0,0,0,1000,0
24/01/2006,20:45:53,-54.008,-38.051,24.25,3,39,0,0,0,1000,0
24/01/2006,20:46:23,-54.008,-38.051,24,3,39,0,0,0,1000,0
24/01/2006,20:46:53,-54.008,-38.051,24.25,3,39,0,0,0,1000,0
24/01/2006,20:47:23,-54.008,-38.051,24,3,39,0,0,0,1000,0
24/01/2006,20:47:53,-54.008,-38.051,23.75,3,39,0,0,0,1000,0
24/01/2006,20:48:23,-54.008,-38.051,23.75,3,39,0,0,0,1000,0
24/01/2006,20:48:53,-54.008,-38.051,23.75,3,39,0,0,0,1000,0
