Date,Time,Latitude,Longitude,Logger ID,Deployment,Altitude,R-Err,C-Err,Total C-Err,No satellites used,No satellites available,Duplicates,Notes
03/01/2011,15:47:14,-54.252702,-36.491317,SFL00000411,AFSMai. 25,0,0.267064,-0.09,-1.48,4,4,0,
03/01/2011,15:53:00,-54.25287,-36.491209,SFL00000411,AFSMai. 25,0,7.64963,-1.48,-1.48,6,6,0,
03/01/2011,16:05:00,-54.25293,-36.490701,SFL00000411,AFSMai. 25,0,0.303507,-0.03,-1.48,4,4,0,
03/01/2011,16:10:00,-54.251613,-36.492552,SFL00000411,AFSMai. 25,0,0.374355,0.29,-1.48,4,4,0,
03/01/2011,16:15:00,-54.248098,-36.486531,SFL00000411,AFSMai. 25,0,0.148652,0.52,-1.48,4,4,0,
03/01/2011,16:20:00,-54.252398,-36.492014,SFL00000411,AFSMai. 25,0,1.192982,0.03,-1.48,4,4,0,
03/01/2011,16:28:00,-54.251968,-36.493463,SFL00000411,AFSMai. 25,0,0.952728,-0.06,-1.48,5,5,0,
03/01/2011,16:33:00,-54.252716,-36.492011,SFL00000411,AFSMai. 25,0,7.171343,0.05,-1.48,5,5,0,
03/01/2011,16:38:00,-54.252642,-36.492122,SFL00000411,AFSMai. 25,0,2.207861,0.04,-1.48,5,5,0,
03/01/2011,16:43:00,-54.252435,-36.492076,SFL00000411,AFSMai. 25,0,3.436976,0.02,-1.48,5,5,0,
03/01/2011,16:48:00,-54.265147,-36.460926,SFL00000411,AFSMai. 25,0,8.102133,1.68,-1.48,4,4,0,
03/01/2011,16:53:00,-54.252196,-36.492362,SFL00000411,AFSMai. 25,0,1.054106,0,-1.48,4,4,0,
03/01/2011,16:58:00,-54.252577,-36.491462,SFL00000411,AFSMai. 25,0,0.946221,0,-1.48,4,4,0,
03/01/2011,17:05:00,-57.204622,-31.57542,SFL00000411,AFSMai. 25,0,0.450318,0.43,-1.48,4,4,0,
03/01/2011,17:10:00,-54.253146,-36.491733,SFL00000411,AFSMai. 25,0,13.823933,-0.06,-1.48,5,5,0,
03/01/2011,17:17:00,-54.252653,-36.491589,SFL00000411,AFSMai. 25,0,7.548803,-0.02,-1.48,5,5,0,
03/01/2011,17:22:00,-54.252506,-36.49133,SFL00000411,AFSMai. 25,0,9.755075,0,-1.48,5,5,0,
03/01/2011,17:36:00,-54.25238,-36.491479,SFL00000411,AFSMai. 25,0,7.706996,-0.04,-1.52,7,7,0,
03/01/2011,17:42:00,-54.252024,-36.491784,SFL00000411,AFSMai. 25,0,0.696079,-0.03,-1.52,4,4,0,
03/01/2011,17:47:00,-54.252253,-36.491591,SFL00000411,AFSMai. 25,0,6.374948,-0.01,-1.53,6,6,0,
03/01/2011,19:55:00,-54.252607,-36.491132,SFL00000411,AFSMai. 25,0,3.699171,-0.2,-1.53,5,5,0,
03/01/2011,20:56:00,-54.252222,-36.491489,SFL00000411,AFSMai. 25,0,0.401455,-0.19,-1.53,4,4,0,
03/01/2011,23:00:00,-54.252396,-36.491737,SFL00000411,AFSMai. 25,0,7.000327,-0.38,-1.91,6,6,0,
04/01/2011,00:02:00,-54.25247,-36.491016,SFL00000411,AFSMai. 25,0,1.802838,-0.03,-1.91,4,4,0,
04/01/2011,01:02:00,-54.252382,-36.491251,SFL00000411,AFSMai. 25,0,3.001396,-0.07,-1.91,5,6,0,
04/01/2011,02:02:00,-54.252266,-36.491472,SFL00000411,AFSMai. 25,0,2.404298,-0.12,-2.03,6,7,0,
04/01/2011,03:02:00,-54.25202,-36.498614,SFL00000411,AFSMai. 25,0,1.3725,0.04,-2.03,5,6,0,
04/01/2011,06:10:00,-54.251739,-36.492193,SFL00000411,AFSMai. 25,0,21.520562,-0.14,-2.17,6,6,0,
04/01/2011,09:20:00,-54.252805,-36.491437,SFL00000411,AFSMai. 25,0,1.456358,-0.3,-2.17,5,5,0,
04/01/2011,10:20:00,-54.252518,-36.491349,SFL00000411,AFSMai. 25,0,5.932207,-0.35,-2.52,7,8,0,
04/01/2011,11:20:00,-54.252335,-36.491595,SFL00000411,AFSMai. 25,0,7.43303,-0.07,-2.59,7,7,0,
04/01/2011,12:20:00,-54.252632,-36.491911,SFL00000411,AFSMai. 25,0,9.790324,-0.12,-2.71,6,6,0,
04/01/2011,13:20:00,-54.252803,-36.491764,SFL00000411,AFSMai. 25,0,7.652295,-0.1,-2.81,6,6,0,
04/01/2011,14:20:00,-54.25229,-36.491603,SFL00000411,AFSMai. 25,0,0.654352,-0.01,-2.81,4,4,0,
04/01/2011,15:21:00,-54.252326,-36.491587,SFL00000411,AFSMai. 25,0,9.795356,-0.05,-2.81,5,5,0,
04/01/2011,16:21:00,-54.251463,-36.492089,SFL00000411,AFSMai. 25,0,5.298314,-0.19,-3,6,6,0,
04/01/2011,16:48:00,-54.247829,-36.501822,SFL00000411,AFSMai. 25,0,8.319774,0.03,-2.97,6,6,0,
04/01/2011,16:53:06,-54.245877,-36.501147,SFL00000411,AFSMai. 25,0,6.889626,-0.15,-3.12,7,7,0,
04/01/2011,16:58:35,-54.244659,-36.499945,SFL00000411,AFSMai. 25,0,8.698601,-0.07,-3.19,6,6,0,
04/01/2011,17:12:10,-54.236553,-36.497764,SFL00000411,AFSMai. 25,0,16.101647,0.35,-2.84,7,7,0,
04/01/2011,17:17:02,-54.235054,-36.496076,SFL00000411,AFSMai. 25,0,10.369284,0.23,-2.61,7,7,0,
04/01/2011,17:22:06,-54.233961,-36.493287,SFL00000411,AFSMai. 25,0,5.146268,-0.48,-3.09,8,8,0,
04/01/2011,17:27:01,-54.232192,-36.489586,SFL00000411,AFSMai. 25,0,8.632189,-0.26,-3.35,7,7,0,
04/01/2011,17:33:08,-54.229051,-36.483737,SFL00000411,AFSMai. 25,0,1.552085,0.37,-2.98,7,7,0,
04/01/2011,17:38:02,-54.227469,-36.480182,SFL00000411,AFSMai. 25,0,12.240158,0.23,-2.75,8,8,0,
04/01/2011,17:43:10,-54.227328,-36.479078,SFL00000411,AFSMai. 25,0,14.343308,-0.59,-2.75,5,5,0,
04/01/2011,17:52:27,-54.224088,-36.472194,SFL00000411,AFSMai. 25,0,10.26494,0.04,-2.75,5,5,0,
04/01/2011,17:57:33,-54.223325,-36.469857,SFL00000411,AFSMai. 25,0,10.275246,-0.26,-3.01,6,6,0,
04/01/2011,18:03:25,-54.220682,-36.464676,SFL00000411,AFSMai. 25,0,5.453798,0.14,-2.87,8,8,0,
04/01/2011,18:08:12,-54.218646,-36.460405,SFL00000411,AFSMai. 25,0,4.992477,0.02,-2.85,7,7,0,
04/01/2011,18:13:21,-54.216773,-36.455823,SFL00000411,AFSMai. 25,0,0.780667,0.25,-2.85,4,4,0,
04/01/2011,18:19:05,-54.215109,-36.451039,SFL00000411,AFSMai. 25,0,5.770263,-0.65,-3.5,6,6,0,
04/01/2011,18:24:02,-54.213578,-36.447381,SFL00000411,AFSMai. 25,0,17.23694,0.36,-3.14,8,8,0,
04/01/2011,18:30:25,-54.210876,-36.441766,SFL00000411,AFSMai. 25,0,11.09366,0.4,-2.74,8,8,0,
04/01/2011,18:37:02,-54.210288,-36.439006,SFL00000411,AFSMai. 25,0,5.998948,-0.12,-2.86,6,6,0,
04/01/2011,18:54:00,-54.201008,-36.422112,SFL00000411,AFSMai. 25,0,1.071951,-0.55,-2.86,4,4,0,
04/01/2011,19:10:09,-54.193978,-36.407482,SFL00000411,AFSMai. 25,0,6.427689,0.12,-2.86,5,5,0,
04/01/2011,19:28:05,-54.191677,-36.396849,SFL00000411,AFSMai. 25,0,4.850564,-0.02,-2.86,5,5,0,
04/01/2011,19:37:08,-54.189769,-36.392968,SFL00000411,AFSMai. 25,0,0.204871,0.1,-2.86,4,4,0,
04/01/2011,19:42:03,-54.18943,-36.391878,SFL00000411,AFSMai. 25,0,2.627429,-0.54,-3.4,6,6,0,
04/01/2011,19:57:22,-54.184095,-36.383821,SFL00000411,AFSMai. 25,0,10.975998,0.2,-3.4,5,5,0,
04/01/2011,20:02:04,-54.180822,-36.377932,SFL00000411,AFSMai. 25,0,0.240898,0.3,-3.4,4,4,0,
04/01/2011,20:08:01,-54.180469,-36.375273,SFL00000411,AFSMai. 25,0,12.7736,0.22,-3.4,5,6,0,
04/01/2011,20:31:25,-54.176697,-36.359165,SFL00000411,AFSMai. 25,0,10.298709,0.74,-3.4,5,6,0,
04/01/2011,20:37:00,-54.176491,-36.357229,SFL00000411,AFSMai. 25,0,5.501784,-0.03,-3.4,5,6,0,
04/01/2011,20:42:26,-54.176984,-36.354694,SFL00000411,AFSMai. 25,0,0.993188,0.1,-3.4,4,5,0,
04/01/2011,20:51:12,-54.17744,-36.351555,SFL00000411,AFSMai. 25,0,0.16193,0.61,-3.4,5,5,0,
04/01/2011,21:06:04,-54.176206,-36.343713,SFL00000411,AFSMai. 25,0,0.192563,-0.12,-3.4,4,4,0,
04/01/2011,21:21:08,-54.172391,-36.332923,SFL00000411,AFSMai. 25,0,14.101863,-0.04,-3.4,5,5,0,
04/01/2011,21:37:12,-54.16794,-36.322677,SFL00000411,AFSMai. 25,0,6.845569,0.45,-2.95,6,6,0,
04/01/2011,21:42:03,-54.166754,-36.319012,SFL00000411,AFSMai. 25,0,12.965978,-0.52,-3.47,7,7,0,
04/01/2011,21:59:08,-54.161245,-36.307658,SFL00000411,AFSMai. 25,0,9.607715,-0.01,-3.48,6,6,0,
04/01/2011,22:07:00,-54.160063,-36.303459,SFL00000411,AFSMai. 25,0,0.134857,0.28,-3.48,4,4,0,
04/01/2011,22:12:19,-54.158748,-36.299745,SFL00000411,AFSMai. 25,0,5.298065,0.64,-3.48,5,5,0,
04/01/2011,22:20:00,-54.158672,-36.29545,SFL00000411,AFSMai. 25,0,5.556141,0.02,-3.46,7,7,0,
04/01/2011,22:27:01,-54.157537,-36.290092,SFL00000411,AFSMai. 25,0,7.393938,0.58,-2.88,7,7,0,
04/01/2011,22:33:02,-54.156242,-36.286128,SFL00000411,AFSMai. 25,0,10.695664,-0.34,-3.22,6,6,0,
04/01/2011,22:40:13,-54.154311,-36.280545,SFL00000411,AFSMai. 25,0,4.470161,0.29,-3.22,5,5,0,
04/01/2011,22:56:18,-54.152774,-36.272515,SFL00000411,AFSMai. 25,0,7.92167,-0.05,-3.27,7,7,0,
04/01/2011,23:03:00,-54.152,-36.268973,SFL00000411,AFSMai. 25,0,13.631902,-0.22,-3.27,5,5,0,
04/01/2011,23:08:00,-54.15148,-36.265648,SFL00000411,AFSMai. 25,0,5.292414,-0.18,-3.45,7,8,0,
04/01/2011,23:16:17,-54.149771,-36.259557,SFL00000411,AFSMai. 25,0,12.905932,-0.05,-3.45,5,5,0,
04/01/2011,23:23:12,-54.14696,-36.253239,SFL00000411,AFSMai. 25,0,10.583692,-0.01,-3.46,7,7,0,
04/01/2011,23:29:00,-54.145095,-36.248414,SFL00000411,AFSMai. 25,0,10.370885,-0.02,-3.48,8,8,0,
04/01/2011,23:47:15,-54.137958,-36.229393,SFL00000411,AFSMai. 25,0,6.83883,0.72,-2.76,6,6,0,
05/01/2011,00:21:30,-54.12455,-36.196363,SFL00000411,AFSMai. 25,0,8.79986,-0.52,-3.28,7,8,0,
05/01/2011,00:35:25,-54.11782,-36.17983,SFL00000411,AFSMai. 25,0,4.581307,0.14,-3.14,6,7,0,
05/01/2011,00:51:10,-54.108876,-36.168736,SFL00000411,AFSMai. 25,0,0.592825,-0.41,-3.14,5,6,0,
05/01/2011,00:56:01,-54.107493,-36.164209,SFL00000411,AFSMai. 25,0,4.398495,-0.38,-3.52,6,7,0,
05/01/2011,01:11:27,-54.098697,-36.141562,SFL00000411,AFSMai. 25,0,2.476991,0.69,-2.83,6,7,0,
05/01/2011,01:17:10,-54.098535,-36.138603,SFL00000411,AFSMai. 25,0,0.107509,-0.26,-2.83,4,5,0,
05/01/2011,01:23:00,-54.098044,-36.13389,SFL00000411,AFSMai. 25,0,13.906986,-0.64,-2.83,5,6,0,
05/01/2011,01:28:00,-54.097706,-36.130986,SFL00000411,AFSMai. 25,0,1.002701,-0.12,-2.83,4,5,0,
05/01/2011,01:35:10,-54.097335,-36.12614,SFL00000411,AFSMai. 25,0,3.096911,-0.21,-2.83,5,6,0,
05/01/2011,01:41:02,-54.09693,-36.120339,SFL00000411,AFSMai. 25,0,4.997901,-0.53,-3.36,6,7,0,
05/01/2011,01:55:00,-54.090123,-36.100167,SFL00000411,AFSMai. 25,0,0.763598,0.55,-3.36,4,4,0,
05/01/2011,02:01:05,-54.088832,-36.092648,SFL00000411,AFSMai. 25,0,9.182136,-0.31,-3.67,6,7,0,
05/01/2011,02:09:04,-54.085386,-36.083547,SFL00000411,AFSMai. 25,0,1.133561,0.11,-3.67,4,5,0,
05/01/2011,02:14:10,-54.083276,-36.076711,SFL00000411,AFSMai. 25,0,12.341969,0.51,-3.16,7,8,0,
05/01/2011,02:33:00,-54.073042,-36.047067,SFL00000411,AFSMai. 25,0,0.775222,0.08,-3.16,4,4,0,
05/01/2011,02:48:08,-54.06466,-36.020693,SFL00000411,AFSMai. 25,0,14.415662,0.36,-2.8,7,8,0,
05/01/2011,02:53:08,-54.063735,-36.01664,SFL00000411,AFSMai. 25,0,13.644443,-0.63,-3.43,8,8,0,
05/01/2011,03:20:06,-54.049733,-35.972284,SFL00000411,AFSMai. 25,0,4.814363,-0.23,-3.43,5,5,0,
05/01/2011,03:25:08,-54.046992,-35.964219,SFL00000411,AFSMai. 25,0,7.85428,0.59,-2.84,7,7,0,
05/01/2011,03:59:02,-54.037084,-35.910828,SFL00000411,AFSMai. 25,0,5.420138,-0.73,-3.57,7,7,0,
05/01/2011,04:17:00,-54.029274,-35.887653,SFL00000411,AFSMai. 25,0,20.869788,0.72,-2.85,6,6,0,
05/01/2011,04:31:18,-54.027378,-35.878886,SFL00000411,AFSMai. 25,0,8.417647,-0.29,-3.14,8,8,0,
05/01/2011,04:36:01,-54.026361,-35.876044,SFL00000411,AFSMai. 25,0,16.822993,-0.48,-3.62,7,7,0,
05/01/2011,04:45:03,-54.022302,-35.865815,SFL00000411,AFSMai. 25,0,6.239511,0.26,-3.36,8,8,0,
05/01/2011,04:53:05,-54.02165,-35.865114,SFL00000411,AFSMai. 25,0,7.154396,-0.25,-3.61,8,8,0,
05/01/2011,04:59:21,-54.023768,-35.865351,SFL00000411,AFSMai. 25,0,5.663069,0.46,-3.15,8,8,0,
05/01/2011,05:18:04,-54.026851,-35.865621,SFL00000411,AFSMai. 25,0,10.259744,-0.59,-3.74,8,8,0,
05/01/2011,05:36:09,-54.026326,-35.856774,SFL00000411,AFSMai. 25,0,2.69389,0.87,-2.87,6,6,0,
05/01/2011,05:51:00,-54.019051,-35.839888,SFL00000411,AFSMai. 25,0,1.364348,-0.25,-2.87,5,5,0,
05/01/2011,05:56:03,-54.018426,-35.837354,SFL00000411,AFSMai. 25,0,3.221285,-0.14,-3.01,6,6,0,
05/01/2011,06:03:01,-54.014667,-35.830699,SFL00000411,AFSMai. 25,0,2.747108,-0.68,-3.69,6,6,0,
05/01/2011,06:18:00,-54.01208,-35.82416,SFL00000411,AFSMai. 25,0,13.888491,0.57,-3.12,8,8,0,
05/01/2011,06:27:07,-54.01211,-35.818195,SFL00000411,AFSMai. 25,0,0.352417,0.51,-3.12,4,4,0,
05/01/2011,06:42:01,-54.010097,-35.815411,SFL00000411,AFSMai. 25,0,0.242909,-0.42,-3.12,4,4,0,
05/01/2011,07:42:01,-54.001599,-35.804327,SFL00000411,AFSMai. 25,0,6.12575,-0.3,-3.42,6,6,0,
05/01/2011,07:48:02,-54.000582,-35.803253,SFL00000411,AFSMai. 25,0,6.873139,0,-3.42,6,6,0,
05/01/2011,07:53:00,-54.000423,-35.802258,SFL00000411,AFSMai. 25,0,11.265665,0.23,-3.19,6,6,0,
05/01/2011,07:58:04,-53.999672,-35.800617,SFL00000411,AFSMai. 25,0,5.271481,-0.13,-3.32,8,8,0,
05/01/2011,08:04:03,-53.999281,-35.799556,SFL00000411,AFSMai. 25,0,4.940962,0.29,-3.03,6,6,0,
05/01/2011,08:18:01,-53.99884,-35.79686,SFL00000411,AFSMai. 25,0,2.979855,-0.14,-3.03,5,5,0,
05/01/2011,08:27:01,-53.997875,-35.794885,SFL00000411,AFSMai. 25,0,12.498419,0.09,-2.94,6,6,0,
05/01/2011,08:34:05,-53.997272,-35.79322,SFL00000411,AFSMai. 25,0,10.428725,-0.64,-3.58,6,6,0,
05/01/2011,08:43:01,-53.996901,-35.791704,SFL00000411,AFSMai. 25,0,9.610729,-0.13,-3.71,8,8,0,
05/01/2011,08:52:02,-53.99641,-35.789445,SFL00000411,AFSMai. 25,0,0.34467,0,-3.71,4,4,0,
05/01/2011,08:59:03,-53.994708,-35.78499,SFL00000411,AFSMai. 25,0,0.540189,0.33,-3.71,4,4,0,
05/01/2011,09:05:02,-53.995252,-35.786595,SFL00000411,AFSMai. 25,0,14.048985,0.14,-3.57,8,8,0,
05/01/2011,09:11:01,-53.995057,-35.785706,SFL00000411,AFSMai. 25,0,10.205197,0.63,-2.94,7,8,0,
05/01/2011,09:16:04,-53.994687,-35.78447,SFL00000411,AFSMai. 25,0,2.756768,-0.89,-3.83,6,6,0,
05/01/2011,09:24:00,-53.994919,-35.783203,SFL00000411,AFSMai. 25,0,10.076348,0.82,-3.01,6,7,0,
05/01/2011,09:30:01,-53.994643,-35.782122,SFL00000411,AFSMai. 25,0,4.657118,-0.35,-3.01,5,5,0,
05/01/2011,09:35:01,-53.994329,-35.780242,SFL00000411,AFSMai. 25,0,11.017281,-0.07,-3.01,5,5,0,
05/01/2011,09:41:00,-53.99469,-35.779186,SFL00000411,AFSMai. 25,0,15.319261,0.01,-3,7,7,0,
05/01/2011,09:48:04,-54.002307,-35.787812,SFL00000411,AFSMai. 25,0,0.249215,-1.54,-3,4,4,0,
05/01/2011,09:53:00,-53.994209,-35.776437,SFL00000411,AFSMai. 25,0,5.62522,-0.23,-3.23,7,8,0,
05/01/2011,09:59:02,-53.993834,-35.775371,SFL00000411,AFSMai. 25,0,10.013038,-0.5,-3.73,7,7,0,
05/01/2011,10:05:02,-53.993843,-35.773912,SFL00000411,AFSMai. 25,0,2.883287,-0.14,-3.73,5,5,0,
05/01/2011,10:10:00,-53.993727,-35.772712,SFL00000411,AFSMai. 25,0,7.234245,0.51,-3.22,7,8,0,
05/01/2011,10:15:05,-53.99386,-35.771683,SFL00000411,AFSMai. 25,0,8.105687,0.12,-3.1,7,8,0,
05/01/2011,10:24:01,-53.993553,-35.770566,SFL00000411,AFSMai. 25,0,15.608714,-0.77,-3.87,6,7,0,
05/01/2011,10:30:04,-53.99373,-35.769068,SFL00000411,AFSMai. 25,0,10.210345,0.4,-3.87,5,6,0,
05/01/2011,10:35:13,-53.994086,-35.767871,SFL00000411,AFSMai. 25,0,0.8183,0.5,-3.87,4,4,0,
05/01/2011,10:40:01,-53.993719,-35.767494,SFL00000411,AFSMai. 25,0,13.017368,0.36,-3.51,6,7,0,
05/01/2011,10:45:02,-53.993897,-35.766048,SFL00000411,AFSMai. 25,0,5.083882,-0.36,-3.87,6,7,0,
05/01/2011,10:51:01,-53.993582,-35.764471,SFL00000411,AFSMai. 25,0,4.269804,0.1,-3.77,6,7,0,
05/01/2011,10:56:00,-53.993602,-35.763223,SFL00000411,AFSMai. 25,0,7.928739,0.51,-3.26,7,8,0,
05/01/2011,11:01:02,-53.991534,-35.762864,SFL00000411,AFSMai. 25,0,11.85329,-0.77,-3.26,5,6,0,
05/01/2011,11:06:08,-53.992326,-35.760404,SFL00000411,AFSMai. 25,0,12.604123,-0.62,-3.88,7,8,0,
05/01/2011,11:15:01,-53.991722,-35.758126,SFL00000411,AFSMai. 25,0,7.592128,-0.01,-3.89,7,8,0,
05/01/2011,11:22:07,-53.991115,-35.756609,SFL00000411,AFSMai. 25,0,13.176874,0.78,-3.11,7,8,0,
05/01/2011,11:27:02,-53.990882,-35.755696,SFL00000411,AFSMai. 25,0,3.669518,0.08,-3.03,7,8,0,
05/01/2011,11:33:04,-53.990268,-35.754187,SFL00000411,AFSMai. 25,0,6.611471,0.03,-3,7,8,0,
05/01/2011,11:40:00,-53.990263,-35.754272,SFL00000411,AFSMai. 25,0,0.117276,-0.36,-3,4,4,0,
05/01/2011,11:45:02,-53.990093,-35.752333,SFL00000411,AFSMai. 25,0,10.455565,-0.54,-3.54,7,8,0,
05/01/2011,11:50:15,-53.989501,-35.751022,SFL00000411,AFSMai. 25,0,11.694064,0.12,-3.42,7,8,0,
05/01/2011,12:07:06,-53.987974,-35.746809,SFL00000411,AFSMai. 25,0,6.433431,-0.34,-3.76,6,6,0,
05/01/2011,12:16:01,-53.987502,-35.744787,SFL00000411,AFSMai. 25,0,6.974231,0.36,-3.4,8,8,0,
05/01/2011,12:23:01,-53.988469,-35.744181,SFL00000411,AFSMai. 25,0,4.633282,0.38,-3.02,6,7,0,
05/01/2011,12:29:03,-53.988546,-35.74447,SFL00000411,AFSMai. 25,0,10.725989,-0.89,-3.91,7,8,0,
05/01/2011,12:36:01,-53.989784,-35.744439,SFL00000411,AFSMai. 25,0,12.182911,0.47,-3.44,7,8,0,
05/01/2011,12:41:28,-53.989756,-35.742448,SFL00000411,AFSMai. 25,0,8.188288,-0.43,-3.44,5,5,0,
05/01/2011,12:46:14,-53.988863,-35.740632,SFL00000411,AFSMai. 25,0,0.317186,0.01,-3.44,4,4,0,
05/01/2011,12:56:05,-53.989417,-35.737068,SFL00000411,AFSMai. 25,0,8.102155,0.39,-3.05,7,8,0,
05/01/2011,13:01:06,-53.989448,-35.736768,SFL00000411,AFSMai. 25,0,4.501536,-0.71,-3.05,5,5,0,
05/01/2011,13:07:02,-53.989018,-35.732511,SFL00000411,AFSMai. 25,0,9.04351,-0.5,-3.55,7,7,0,
05/01/2011,13:12:01,-53.98934,-35.730809,SFL00000411,AFSMai. 25,0,7.67077,-0.26,-3.81,6,6,0,
05/01/2011,13:17:22,-53.989837,-35.728881,SFL00000411,AFSMai. 25,0,0.367736,0.35,-3.81,4,4,0,
05/01/2011,13:23:02,-53.989896,-35.726073,SFL00000411,AFSMai. 25,0,0.491773,0.6,-3.81,4,4,0,
05/01/2011,13:29:00,-53.989624,-35.723618,SFL00000411,AFSMai. 25,0,10.037453,0.52,-3.29,8,8,0,
05/01/2011,13:43:04,-53.991358,-35.72041,SFL00000411,AFSMai. 25,0,6.231046,-0.29,-3.58,8,8,0,
05/01/2011,13:49:10,-53.992523,-35.720061,SFL00000411,AFSMai. 25,0,11.417309,0.37,-3.21,8,8,0,
05/01/2011,13:55:07,-53.992882,-35.720066,SFL00000411,AFSMai. 25,0,12.359762,-0.24,-3.45,8,8,0,
05/01/2011,14:03:11,-53.993708,-35.719629,SFL00000411,AFSMai. 25,0,10.122072,-0.48,-3.93,8,8,0,
05/01/2011,14:09:00,-53.995121,-35.719404,SFL00000411,AFSMai. 25,0,4.579192,0.87,-3.06,8,8,0,
05/01/2011,14:15:05,-53.994847,-35.716835,SFL00000411,AFSMai. 25,0,0.353487,-0.63,-3.06,4,4,0,
05/01/2011,14:21:08,-53.995422,-35.716475,SFL00000411,AFSMai. 25,0,8.228083,-0.03,-3.09,7,7,0,
05/01/2011,14:26:10,-53.995338,-35.714241,SFL00000411,AFSMai. 25,0,5.360315,0.04,-3.05,8,8,0,
05/01/2011,14:31:00,-53.995599,-35.712477,SFL00000411,AFSMai. 25,0,0.908466,-0.33,-3.05,5,5,0,
05/01/2011,14:47:20,-53.99704,-35.706263,SFL00000411,AFSMai. 25,0,0.173885,-0.65,-3.05,4,4,0,
05/01/2011,14:53:00,-53.998207,-35.705023,SFL00000411,AFSMai. 25,0,8.603585,-0.26,-3.05,5,5,0,
05/01/2011,15:00:01,-53.998684,-35.702676,SFL00000411,AFSMai. 25,0,13.311708,-0.03,-3.08,8,8,0,
05/01/2011,15:08:00,-53.999234,-35.70099,SFL00000411,AFSMai. 25,0,2.298622,-0.24,-3.32,7,7,0,
05/01/2011,15:34:02,-54.001561,-35.694542,SFL00000411,AFSMai. 25,0,4.013217,0.24,-3.32,5,5,0,
05/01/2011,15:39:00,-54.001689,-35.693117,SFL00000411,AFSMai. 25,0,0.791919,0.25,-3.32,5,5,0,
05/01/2011,15:45:02,-54.002396,-35.692334,SFL00000411,AFSMai. 25,0,3.379656,-0.07,-3.39,6,6,0,
05/01/2011,15:50:02,-54.002866,-35.691912,SFL00000411,AFSMai. 25,0,6.771325,-0.18,-3.39,5,5,0,
05/01/2011,15:57:01,-54.00166,-35.690349,SFL00000411,AFSMai. 25,0,3.874023,-0.18,-3.39,5,5,0,
05/01/2011,16:02:14,-53.999784,-35.686507,SFL00000411,AFSMai. 25,0,11.017677,0.02,-3.37,6,6,0,
05/01/2011,16:57:16,-53.97593,-35.636434,SFL00000411,AFSMai. 25,0,12.619561,-0.33,-3.7,7,7,0,
05/01/2011,17:02:10,-53.97648,-35.637031,SFL00000411,AFSMai. 25,0,11.933021,0.37,-3.33,7,7,0,
05/01/2011,17:11:03,-53.976339,-35.637019,SFL00000411,AFSMai. 25,0,5.088992,-0.43,-3.76,8,8,0,
05/01/2011,17:30:10,-53.977395,-35.637068,SFL00000411,AFSMai. 25,0,0.768653,0.48,-3.76,4,4,0,
05/01/2011,17:47:23,-53.972994,-35.628318,SFL00000411,AFSMai. 25,0,3.925542,0.38,-3.76,5,5,0,
